prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Which word has fewer letters, ""{word1}"" or ""{word2}""?
A:",1,Q&A,20,100
2,True,default,,"Q: Which word is shorter, ""{word1}"" or ""{word2}""?
A:",1,Q&A,19,100
3,True,default,,"Q: Of the words ""{word1}"" and ""{word2}"" which one has fewer letters?
A:",1,Q&A,22,100
4,False,rephrase,,"Which of the two words, ""{word1}"" or ""{word2}"", has a smaller number of letters?",1,other,22,100
5,False,rephrase,,"Which of the two words, ""{word1}"" or ""{word2}"", has a lesser number of letters?",1,other,22,100
6,False,rephrase,,Compare the length of the words '{word1}' and '{word2}'. Which one has fewer letters?,1,other,21,100
7,False,rephrase,,"Compare the number of letters in ""{word1}"" and ""{word2}"" and determine which one has fewer letters.",1,other,23,100
8,False,rephrase,,"Can you determine which of the two words, ""{word1}"" or ""{word2}"", has a smaller number of letters?",1,other,25,100
9,False,rephrase,,"Which of these two words, ""{word1}"" or ""{word2}"", has a smaller number of letters?",1,other,22,100
10,False,rephrase,,"Is the number of letters in ""{word1}"" less than the number of letters in ""{word2}""?",0,other,22,100
11,False,rephrase,,"Determine which of the two words, ""{word1}"" or ""{word2}"", has a smaller number of letters.",1,other,24,100
12,False,rephrase,,"Can you tell me which of the two words, ""{word1}"" or ""{word2}"", is shorter?",1,other,22,100
13,False,rephrase,,"Which of the two words, ""{word1}"" or ""{word2}"", is shorter in length?",1,other,20,100
14,False,rephrase,,"Can you determine which of the two words, ""{word1}"" or ""{word2}"", is shorter?",1,other,21,100
15,False,rephrase,,"Compare the length of the words ""{word1}"" and ""{word2}"" and determine which one is shorter.",1,other,22,100
16,False,rephrase,,"Can you determine whether ""{word1}"" or ""{word2}"" is shorter?",1,other,16,100
17,False,rephrase,,"Can you determine which of the two words, ""{word1}"" or ""{word2}"", has a shorter length?",1,other,23,100
18,False,rephrase,,"Which of the two words is shorter, ""{word1}"" or ""{word2}""?",1,other,18,100
19,False,rephrase,,"Can you determine if ""{word1}"" or ""{word2}"" is the shorter word?",0,other,18,100
20,False,rephrase,,"Which word between ""{word1}"" and ""{word2}"" has a shorter length?",1,other,17,100
21,False,rephrase,,"Which of the two words, ""{word1}"" or ""{word2}"", has a shorter length?",1,other,20,100
22,False,rephrase,,"Which word has a smaller number of letters between ""{word1}"" and ""{word2}""?",1,other,19,100
23,False,rephrase,,"Which word between ""{word1}"" and ""{word2}"" has a smaller number of letters?",1,other,19,100
24,False,rephrase,,"Which word has a shorter length between ""{word1}"" and ""{word2}""?",1,other,17,100
25,False,rephrase,,"Which of the two words, ""{word1}"" and ""{word2}"", has a smaller number of letters?",1,other,22,100
26,False,rephrase,,"Which of the two words, ""{word1}"" or ""{word2}"", has a shorter length in terms of the number of letters?",1,other,27,100
27,False,rephrase,,"Which of the two words, ""{word1}"" and ""{word2}"", has a shorter length?",1,other,20,100
28,False,rephrase,,Compare the length of the words '{word1}' and '{word2}' and determine which one has fewer letters.,1,other,23,100
29,False,rephrase,,"Compare the length of the words ""{word1}"" and ""{word2}"" and determine which one has fewer letters.",1,other,23,100
30,False,rephrase,,Compare the length of the words '{word1}' and '{word2}'. Which word has fewer letters?,1,other,21,100
31,False,rephrase,,"Please determine which of the following words, ""{word1}"" or ""{word2}"", has a shorter length.",1,other,22,100
32,False,rephrase,,"Compare the letter count of '{word1}' and '{word2}', which word has fewer letters?",1,other,20,100
33,False,rephrase,,"Please determine which of the two words, ""{word1}"" or ""{word2}"", has a smaller number of letters.",1,other,24,100
34,False,rephrase,,"What is the shorter word, ""{word1}"" or ""{word2}""?",1,other,16,100
35,False,rephrase,,"Compare the length of ""{word1}"" and ""{word2}"" and provide the name of the shorter word.",1,other,22,100
36,False,rephrase,,Compare the length of the words '{word1}' and '{word2}' and determine which one is shorter.,1,other,22,100
37,False,rephrase,,Compare the length of the words '{word1}' and '{word2}' and state which one is shorter.,1,other,22,100
38,False,rephrase,,"Please compare the length of the words ""{word1}"" and ""{word2}"" and indicate which one is shorter.",1,other,23,100
39,False,rephrase,,"Compare the length of ""{word1}"" and ""{word2}"" and identify which one is shorter.",1,other,20,100
40,False,rephrase,,"Compare the length of ""{word1}"" and ""{word2}"" and state which one is shorter.",1,other,20,100
41,False,rephrase,,Please determine which of the following words is shorter: {word1} or {word2}.,1,SEP_VARS,19,100
42,False,rephrase,,"Compare the length of the words ""{word1}"" and ""{word2}"" and state which one is shorter.",1,other,22,100
43,False,rephrase,,"Which word between ""{word1}"" and ""{word2}"" has a smaller number of characters?",1,other,19,100
44,False,rephrase,,"Which word has a shorter length: ""{word1}"" or ""{word2}""?",1,other,17,100
45,False,rephrase,,"Which of the following two words, ""{word1}"" or ""{word2}"", has a shorter length?",1,other,21,100
46,False,meta_cot,,"Which of the two words, {word1} and {word2}, has fewer letters?",1,other,19,100
47,False,meta_cot,,"Determine which word, {word1} or {word2}, has a shorter length.",1,other,19,100
48,False,meta_cot,,Compare the length of the words {word1} and {word2} and identify the one with fewer letters.,1,other,23,100
49,False,meta_cot,,"Which word has a smaller number of letters, {word1} or {word2}?",1,other,18,100
50,False,meta_cot,,"Out of {word1} and {word2}, which one has a shorter length?",1,other,18,100
51,False,meta_cot,,"Which of the two words, {word1} or {word2}, has fewer letters?",1,other,19,100
52,False,meta_cot,,Compare the length of {word1} and {word2} and tell me which one has fewer letters.,1,other,22,100
53,False,meta_cot,,Are there more letters in {word1} or {word2}?,0,other,14,100
54,False,meta_cot,,"Which word is shorter, {word1} or {word2}?",1,other,14,100
55,False,meta_cot,,"Tell me which of the two words, {word1} or {word2}, has a smaller number of letters.",1,other,24,100
56,False,meta_cot,,"Which word has less letters, {word1} or {word2}?",1,other,15,100
57,False,meta_cot,,"Out of {word1} and {word2}, which one has fewer letters?",1,other,17,100
58,False,meta_cot,,"Which of the two words, {word1} or {word2}, has a smaller number of letters?",1,other,22,100
59,False,meta_cot,,Determine which word has a lesser number of letters between {word1} and {word2}.,1,other,20,100
60,False,meta_cot,,Compare {word1} and {word2} and tell me which one has fewer letters.,1,other,19,100
61,False,meta_cot,,"Of the words {word1} and {word2}, which one has fewer letters?",1,other,18,100
62,False,meta_cot,,"Which of the two words, {word1} or {word2}, has a smaller length?",1,other,20,100
63,False,meta_cot,,Determine which word is shorter between {word1} and {word2}.,1,other,16,100
64,False,meta_cot,,Are the number of letters in {word1} less than {word2}?,0,other,16,100
65,False,meta_cot,,"Which word has a lower character count, {word1} or {word2}?",1,other,17,100
66,False,meta_cot,,Choose the word with fewer letters between {word1} and {word2}.,1,other,16,100
67,False,meta_cot,,"Which of the two words, ""{word1}"" and ""{word2}"", has fewer letters?",1,other,19,100
68,False,meta_cot,,"Compare the length of ""{word1}"" and ""{word2}"". Which one has fewer letters?",1,other,19,100
69,False,meta_cot,,"Determine which word has fewer letters: ""{word1}"" or ""{word2}""?",1,other,18,100
70,False,meta_cot,,"Are the number of letters in ""{word1}"" less than the number of letters in ""{word2}""?",0,other,22,100
71,False,meta_cot,,"Which word is shorter, ""{word1}"" or ""{word2}""?",1,other,15,100
72,False,meta_cot,,"Which of the words ""{word1}"" and ""{word2}"" has the smaller number of letters?",1,other,20,100
73,False,meta_cot,,Determine which word has a smaller number of letters between {word1} and {word2}.,1,other,20,100
74,False,meta_cot,,"Between {word1} and {word2}, which word has less letters?",1,other,16,100
75,False,meta_cot,,Which of {word1} and {word2} has fewer letters?,1,other,15,100
76,False,meta_cot,,Compare {word1} and {word2}. Which is shorter in length?,1,other,16,100
77,False,meta_cot,,Determine which word has less number of letters between {word1} and {word2}.,1,other,19,100
78,False,meta_cot,,"Are there fewer letters in ""{word1}"" or ""{word2}""?",1,other,15,100
79,False,meta_cot,,"Compare the number of letters in ""{word1}"" and ""{word2}"", and determine which one has less.",1,other,22,100
80,False,meta_cot,,"Determine which word has fewer letters, ""{word1}"" or ""{word2}"".",1,other,17,100
81,False,meta_cot,,"Find the word with the shorter length between ""{word1}"" and ""{word2}"".",1,other,17,100
82,False,meta_cot,,"Which of the two words, ""{word1}"" or ""{word2}"", has a smaller number of letters?",1,other,22,100
83,False,meta_cot,,"Determine which word has fewer letters between ""{word1}"" and ""{word2}"".",1,other,17,100
84,False,meta_cot,,"Compare the length of ""{word1}"" and ""{word2}"" and tell me which one is shorter.",1,other,21,100
85,False,meta_cot,,"Which of the two words, ""{word1}"" or ""{word2}"", has a lesser number of characters?",1,other,22,100
