prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: How would a typical person answer each of the following questions about causation?
{question}
Options:
- Yes
- No
A:",1,Q&A,30,100
2,False,rephrase,,"Q: Provide a classification (yes/no) response to the following question about causal attribution as a typical person would:
{question}
Options:
- Yes
- No
A:",1,Q&A,36,100
3,False,rephrase,,"How would an average individual respond to inquiries concerning causation? Would they answer {question} with a ""Yes"" or a ""No""?",0,other,28,100
4,False,rephrase,,"Q: Provide a classification (yes/no) response to the following question regarding causal attribution:
{question}",1,other,21,100
5,False,rephrase,,"How would an average individual respond to the following inquiries regarding causality? 
Would they answer {question} with a ""Yes"" or a ""No""?",0,other,31,100
6,False,rephrase,,"Q: Provide a classification (yes/no) response to the following question about causal attribution:
{question}",1,other,21,100
7,False,rephrase,,"How would an individual respond to the following question regarding causal attribution: {question}? Would they classify the answer as ""Yes"" or ""No""?",1,SEP_VARS,29,100
8,False,rephrase,,"How would a typical person classify the following questions about causal attribution?
{question}
Options:
- Yes
- No",1,other,23,100
9,False,rephrase,,"Q: Provide a classification (yes/no) response to the following question regarding causal attribution as a typical person would:
{question}",1,other,26,100
10,False,rephrase,,"How would an average individual respond to the following queries regarding causality?
{question}
Response options:
- Yes
- No",1,other,25,100
11,False,rephrase,,"How would a typical person classify {question} in terms of causation, answering with either ""Yes"" or ""No""?",0,other,25,100
12,False,rephrase,,How would an average individual respond to inquiries regarding causation? Would they classify the {question} as a yes or no?,0,other,25,100
13,False,rephrase,,How would an average individual classify causal attribution for the following {question} - would they say yes or no?,1,other,22,100
14,False,rephrase,,"How would the average individual respond to the following questions regarding causal attribution?
{question}
Response options:
- Yes
- No",1,other,25,100
15,False,rephrase,,"How would an average individual classify causal attribution for the given scenario?
Can {question} be attributed to the cause?
Options:
- Yes
- No",0,other,30,100
16,False,rephrase,,How might {question} be answered in terms of causation by a typical person?,0,other,17,100
17,False,rephrase,,"Q: Provide a classification (yes/no) response to the following question about causal attribution from the perspective of a typical person:
{question}",1,other,28,100
18,False,rephrase,,"Q: Provide a classification (Yes or No) response to questions related to causal attribution about the following scenario:
{question}",1,other,25,100
19,False,rephrase,,"Q: Can you classify {question} as a causal attribution? 
Options:
- Yes
- No",0,other,21,100
20,False,rephrase,,"How would somebody respond to the question ""{question}"" if asked about causation? Would the answer be ""Yes"" or ""No""?",1,other,27,100
21,False,rephrase,,"Q: Provide a classification response of either 'Yes' or 'No' to the following question regarding causal attribution:
{question}",1,other,26,100
22,False,rephrase,,"How would an average individual respond to inquiries concerning causal ascription? Would they reply affirmatively or negatively?
Can {question} be classified as a cause?
Options:
- Yes
- No",0,other,38,100
23,False,rephrase,,How would an ordinary individual respond to the {question} concerning causal inference? Would it be classified as a yes or no?,0,other,25,100
24,False,rephrase,,"How might someone respond to {question} when asked about causal attribution? Would their classification be a definitive ""yes"" or ""no""?",0,other,27,100
25,False,rephrase,,"Q: Can you determine if {question} has a causal relationship?
Options:
- Yes
- No",0,other,21,100
26,False,rephrase,,"How would most individuals respond to the following inquiry regarding causal attribution? Would they answer {question} with a classification of ""Yes"" or ""No""?",0,other,30,100
