prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: {sentence}
Options:
{options}
A:",1,Q&A,44,100
2,False,rephrase,,"Clarify the antecedent of the pronoun in the given sentence or state that it is ambiguous.
Sentence: {sentence}
Choose the correct option from the following:
{options}
A:",1,SEP_VARS,39,100
3,False,rephrase,,"In the given sentence, identify the antecedent of the pronoun or state that it is ambiguous.
Sentence: {sentence}
Choose the correct option from the following:
{options}
Answer:",1,SEP_VARS,39,100
4,False,rephrase,,"Clarify the antecedent of the pronoun or state that it is ambiguous in the following sentence:
Sentence: {sentence}
Choose the correct option from the following:
{options}
A:",1,SEP_VARS,39,100
5,False,rephrase,,"Clarify the antecedent of the pronoun in the following sentence or state that it is ambiguous:
Sentence: {sentence}
Choose the correct option from the following:
{options}",1,SEP_VARS,37,100
6,False,rephrase,,"Clarify the meaning of the sentence with the ambiguous pronoun. Identify the antecedent of the pronoun in the sentence ""{sentence}"" or state that it is ambiguous. Choose the correct option from the following choices: {options}.",1,SEP_VARS,47,100
7,False,rephrase,,"Clarify the antecedent of the pronoun in the following sentence, or state that it is ambiguous:
Sentence: {sentence}
Choose the correct option:
{options}
A:",1,SEP_VARS,37,100
8,False,rephrase,,"Clarify the antecedent of the pronoun in the following sentence or state that it is ambiguous.
Sentence: {sentence}
Choose the correct antecedent from the following options:
{options}
A:",1,SEP_VARS,42,100
9,False,rephrase,,"Q: Identify the antecedent of the pronoun in the given sentence or indicate if it is ambiguous.
Sentence: {sentence}
Choose from the following options:
{options}
A:",1,Q&A,38,100
10,False,rephrase,,"Q: Identify the antecedent of the pronoun used in the given sentence or indicate if it is ambiguous.
Sentence: {sentence}
Choose from the following options:
{options}
A:",1,Q&A,39,100
11,False,rephrase,,"Clarify the antecedent of the pronoun in the following sentence or state that it is ambiguous:
Sentence: {sentence}
Choose the correct option:
{options}
A:",1,SEP_VARS,36,100
12,False,rephrase,,"Clarify the meaning of the sentence by identifying the antecedent of the pronoun (which thing the pronoun refers to) or state that it is ambiguous.
Sentence: {sentence}
Choose the correct option from the following:
{options}
A:",1,SEP_VARS,51,100
13,False,rephrase,,"Clarify the meaning of the sentence provided by identifying the antecedent of the pronoun or stating if it is ambiguous.
Sentence: {sentence}
Select the option that correctly identifies the antecedent of the pronoun.
Options:
{options}
Provide your answer below.",1,SEP_VARS,55,100
14,False,rephrase,,"Clarify the meaning of the sentence with the ambiguous pronoun in the following sentence by identifying the antecedent of the pronoun or stating that it is ambiguous.
Sentence: {sentence}
Choose the correct option from the following:
{options}
Answer:",1,SEP_VARS,51,100
15,False,rephrase,,"Clarify the meaning of the sentence by identifying the antecedent of the pronoun in the given sentence: {sentence}. If the antecedent is ambiguous, state it. Choose the correct option from the following choices: {options}.",1,SEP_VARS,48,100
16,False,rephrase,,"Clarify the meaning of the sentence by explaining the antecedent of the pronoun or state that it is ambiguous.
Sentence: {sentence}
Choose the correct option from the following:
{options}
A:",1,SEP_VARS,42,100
17,False,rephrase,,"Clarify the meaning of the sentence by identifying the antecedent of the pronoun in the following sentence: ""{sentence}"". If the antecedent is ambiguous, state that it is unclear. Choose from the following options: {options}.",1,SEP_VARS,48,100
18,False,rephrase,,"Clarify the antecedent of the pronoun in the given sentence or state that it is ambiguous.
Sentence: {sentence}
Select the correct option from the following:
{options}
A:",1,SEP_VARS,39,100
19,False,rephrase,,"Q: Identify the antecedent of the pronoun in the given sentence or state that it is ambiguous.
Sentence: {sentence}
Choose from the following options:
{options}
A:",1,Q&A,38,100
20,False,rephrase,,"Clarify the antecedent of the pronoun in the given sentence or state that it is ambiguous.
Sentence: {sentence}
Choose the most appropriate option from the following:
{options}
A:",1,SEP_VARS,40,100
21,False,rephrase,,"Clarify the antecedent of the pronoun in the given sentence or state that it is ambiguous.
Sentence: {sentence}
Choose the correct option from the following:
{options}
Answer:",1,SEP_VARS,39,100
22,False,rephrase,,"Clarify the meaning of the following sentence by explaining the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous:
Sentence: {sentence}
Select the option that best describes the antecedent of the pronoun:
{options}
A:",1,SEP_VARS,59,100
23,False,rephrase,,"Q: Identify the antecedent of the pronoun in the given sentence or indicate if it is ambiguous.
Sentence: {sentence}
Select the option that correctly identifies the antecedent of the pronoun from the following:
{options}
A:",1,Q&A,50,100
24,False,rephrase,,"Clarify the antecedent of the pronoun in the given sentence or state if it is ambiguous.
Sentence: {sentence}
Choose the correct option from the following:
{options}",1,SEP_VARS,37,100
25,False,rephrase,,"Clarify the antecedent of the pronoun in the following sentence or state if it is ambiguous:
Sentence: {sentence}
Choose the correct option:
{options}",1,SEP_VARS,34,100
26,False,rephrase,,"Clarify the antecedent of the pronoun in the following sentence or state that it is ambiguous.
Sentence: {sentence}
Choose the correct option from the following:
{options}
Answer:",1,SEP_VARS,39,100
27,False,rephrase,,"Q: For the given sentence, identify the antecedent of the ambiguous pronoun or state that it is ambiguous.
Sentence: {sentence}
Choose the option that correctly identifies the antecedent of the pronoun:
{options}
A:",1,Q&A,49,100
