prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Write a sentence that ends with the word ""{word}"":
",1,other,12,100
2,True,default,,"Write a sentence whose last word is ""{word}"":
",1,other,11,100
3,True,default,,"Write a sentence ending with ""{word}"":
",1,other,9,100
4,False,rephrase,,"Create a statement that concludes with the term ""{word}"":",1,other,12,100
5,False,rephrase,,"Create a phrase that concludes with the term ""{word}"":",1,other,12,100
6,False,rephrase,,"Formulate a statement that concludes with the term ""{word}"".",1,other,12,100
7,False,rephrase,,"Create a sentence that concludes with the term ""{word}"":",1,other,12,100
8,False,rephrase,,"Formulate a statement that concludes with the term ""{word}"":",1,other,13,100
9,False,rephrase,,"Create a statement that concludes with the term ""{word}"".",1,other,11,100
10,False,rephrase,,"Create a sentence that concludes with the term ""{word}"".",1,other,11,100
11,False,rephrase,,"Formulate a statement culminating with the term ""{word}"":",1,other,13,100
12,False,rephrase,,"Create a sentence that ends with the word ""{word}"".",1,other,11,100
13,False,rephrase,,"Compose a sentence that ends with the word ""{word}"".",1,other,11,100
14,False,rephrase,,"Create a sentence ending with the word ""{word}"".",1,other,10,100
15,False,rephrase,,Form a sentence with {word} as the final word.,1,other,12,100
16,False,rephrase,,"Create a phrase that terminates with the word ""{word}"":",1,other,12,100
17,False,rephrase,,"Create a sentence that ends with the word ""{word}"":",1,other,12,100
18,False,rephrase,,"Compose a statement that concludes with the word ""{word}"".",1,other,11,100
19,False,rephrase,,"Create a sentence with the final word: ""{word}"".",1,other,11,100
20,False,rephrase,,"Create a sentence that concludes with the word ""{word}"":",1,other,12,100
21,False,rephrase,,"Create a sentence that concludes with the word ""{word}"".",1,other,11,100
22,False,rephrase,,"Create a sentence that concludes with ""{word}"":",1,other,10,100
23,False,rephrase,,"Create a statement that concludes with the word ""{word}"":",1,other,12,100
24,False,rephrase,,"Can you construct a sentence that concludes with the word ""{word}""?",1,other,14,100
25,False,rephrase,,"Construct a sentence that concludes with the word ""{word}"":",1,other,12,100
26,False,rephrase,,"Construct a sentence that concludes with the word ""{word}"".",1,other,11,100
27,False,rephrase,,"Create a phrase that concludes with ""{word}"":",1,other,10,100
28,False,rephrase,,"Please generate a sentence that concludes with the term ""{word}"".",1,other,12,100
29,False,rephrase,,"Generate a sentence that concludes with the term ""{word}"".",1,other,11,100
30,False,rephrase,,"Generate a sentence that concludes with the specified ""{word}"".",1,other,11,100
31,False,rephrase,,"Please provide a sentence that concludes with the term ""{word}"" for GPT-3 to complete.",0,other,20,100
32,False,rephrase,,"Please generate a sentence that concludes with the term ""{word}"" using GPT-3.",0,other,18,100
33,False,rephrase,,"Can you generate a sentence that concludes with the term ""{word}"" using GPT-3?",0,other,19,100
34,False,rephrase,,"Complete the following sentence using the word ""{word}"":",0,other,11,100
35,False,rephrase,,"Please compose a sentence that concludes with the specified term ""{word}"".",1,other,13,100
36,False,rephrase,,"Generate a sentence that ends with the word ""{word}"".",1,other,11,100
37,False,rephrase,,"Construct a sentence that concludes with the term ""{word}"".",1,other,11,100
38,False,rephrase,,"Generate a sentence ending with the word ""{word}"".",1,other,10,100
39,False,rephrase,,Please generate a sentence that ends with the word '{word}'.,1,other,12,100
40,False,rephrase,,"Create a complete sentence using ""{word}"" as the final word.",1,other,13,100
41,False,rephrase,,"Create a sentence with ""{word}"" as its final word.",1,other,12,100
42,False,rephrase,,"Generate a complete sentence with the final word being ""{word}"".",1,other,12,100
43,False,rephrase,,Complete the following sentence by adding a word of your choice at the end:,0,other,15,100
44,False,rephrase,,"Complete the following sentence with a word of your choice: ""The {word} was the highlight of the event.""",0,other,23,100
45,False,rephrase,,"Please compose a sentence that concludes with the word ""{word}"".",1,other,12,100
46,False,rephrase,,"Complete the following sentence with a word of your choice: ""The sun was shining bright, and the birds were singing {word}.""",0,other,27,100
47,False,rephrase,,"Please generate a sentence that concludes with the word ""{word}"".",1,other,12,100
48,False,rephrase,,"Please complete the following sentence by adding a word of your choice at the end: ""The sky is so clear and blue today, it reminds me of {word}.""",0,other,34,100
49,False,rephrase,,"Provide a sentence that concludes with the word ""{word}"".",1,other,11,100
50,False,rephrase,,"Can you generate a sentence that concludes with the word ""{word}""?",1,other,14,100
51,False,meta_cot,,"Create a sentence that concludes with the word ""{word}"".",1,other,11,100
52,False,meta_cot,,"Formulate a sentence that finishes with ""{word}"".",1,other,10,100
53,False,meta_cot,,"Write a sentence that ends with the term ""{word}"".",1,other,11,100
54,False,meta_cot,,"Produce a sentence that terminates with the word ""{word}"".",1,other,12,100
55,False,meta_cot,,"Craft a sentence that concludes with the word ""{word}"".",1,other,11,100
56,False,meta_cot,,"Construct a sentence where the final word is ""{word}"".",1,other,11,100
57,False,meta_cot,,"Create a sentence that concludes with the term ""{word}"".",1,other,11,100
58,False,meta_cot,,"Write a sentence that has ""{word}"" as its last word.",1,other,13,100
59,False,meta_cot,,"Compose a sentence that terminates with the word ""{word}"".",1,other,11,100
60,False,meta_cot,,"Craft a sentence that ends with the term ""{word}"".",1,other,11,100
61,False,meta_cot,,"Formulate a sentence that ends with the term ""{word}"".",1,other,12,100
62,False,meta_cot,,"Write a sentence that finishes with ""{word}"".",1,other,9,100
63,False,meta_cot,,"Provide a sentence that concludes with the word ""{word}"".",1,other,11,100
64,False,meta_cot,,"Craft a sentence that ends with the word ""{word}"".",1,other,11,100
65,False,meta_cot,,"Write a sentence that terminates with the word ""{word}"".",1,other,11,100
66,False,meta_cot,,"Produce a sentence that ends with ""{word}"".",1,other,10,100
67,False,meta_cot,,"Create a sentence that finishes with the word ""{word}"".",1,other,11,100
68,False,meta_cot,,"Write a sentence that concludes with ""{word}"".",1,other,9,100
69,False,meta_cot,,"Construct a sentence in which the last word is ""{word}"".",1,other,12,100
70,False,meta_cot,,"Formulate a sentence that concludes with the word ""{word}"".",1,other,12,100
71,False,meta_cot,,"Create a sentence that finishes with the term ""{word}"".",1,other,11,100
72,False,meta_cot,,"Please write a sentence that finishes with ""{word}"".",1,other,10,100
