prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: In an alphabetical order, which of the words ""{word1}"" and ""{word2}"" comes first?
A:",1,Q&A,25,100
2,True,default,,"Q: In an alphabetical order, which word comes first, ""{word1}"" or ""{word2}""?
A:",1,Q&A,24,100
3,True,default,,"Q: Of the words ""{word1}"" and ""{word2}"", which word comes first alphabetically?
A:",1,Q&A,23,100
4,False,rephrase,,"Which word comes first in alphabetical order: ""{word1}"" or ""{word2}""?",1,other,18,100
5,False,rephrase,,"Which word comes first in alphabetical order, ""{word1}"" or ""{word2}""?",1,other,18,100
6,False,rephrase,,"Which word between ""{word1}"" and ""{word2}"" appears first in alphabetical order?",1,other,18,100
7,False,rephrase,,"Here's a rephrased prompt:
'''Q: Which word comes first in alphabetical order: ""{word1}"" or ""{word2}""?
A:'''",0,Q&A,33,100
8,False,rephrase,,"Which word comes first in alphabetical order - ""{word1}"" or ""{word2}""?",1,other,18,100
9,False,rephrase,,"Rewritten prompt: ""Which word between ""{word1}"" and ""{word2}"" appears first when arranged in alphabetical order?""",0,other,25,100
10,False,rephrase,,"Which word comes first in alphabetical order between ""{word1}"" and ""{word2}""?",1,other,18,100
11,False,rephrase,,"Which of the words ""{word1}"" and ""{word2}"" precedes the other in alphabetical order?",1,other,21,100
12,False,rephrase,,"Which word precedes the other in alphabetical order, ""{word1}"" or ""{word2}""?",1,other,20,100
13,False,rephrase,,"Which word appears first in alphabetical order, ""{word1}"" or ""{word2}""?",1,other,18,100
14,False,rephrase,,"Which word appears first in alphabetical order between ""{word1}"" and ""{word2}""?",1,other,18,100
15,False,rephrase,,"What is the first word in alphabetical order between ""{word1}"" and ""{word2}""?",1,other,19,100
16,False,rephrase,,"Which of the two given words, ""{word1}"" or ""{word2}"", appears first in alphabetical order?",1,other,22,100
17,False,rephrase,,"Which word appears first in alphabetical order- ""{word1}"" or ""{word2}""?",1,other,18,100
18,False,rephrase,,"Which word comes first alphabetically, ""{word1}"" or ""{word2}""?",1,other,17,100
19,False,rephrase,,"Which word is listed first in alphabetical order - ""{word1}"" or ""{word2}""?",1,other,19,100
20,False,rephrase,,"Which of the two words ""{word1}"" and ""{word2}"" appears first in alphabetical order?",1,other,20,100
21,False,rephrase,,"Which of the two words, ""{word1}"" and ""{word2}"", is alphabetically first?",1,other,20,100
22,False,rephrase,,"Which of the two words, ""{word1}"" and ""{word2}"", is the first in alphabetical order?",1,other,22,100
23,False,rephrase,,"Which word between ""{word1}"" and ""{word2}"" comes first in alphabetical order?",1,other,18,100
24,False,rephrase,,"Which of the two words ""{word1}"" and ""{word2}"" is listed first alphabetically?",1,other,20,100
25,False,rephrase,,"Which word, ""{word1}"" or ""{word2}"", is first in alphabetical order?",1,other,18,100
26,False,rephrase,,"Which one of the words ""{word1}"" and ""{word2}"" appears first in alphabetical order?",1,other,20,100
27,False,rephrase,,"Which of the two words, ""{word1}"" and ""{word2}"", comes first in alphabetical order?",1,other,21,100
28,False,rephrase,,"Arrange the words ""{word1}"" and ""{word2}"" in alphabetical order and indicate which one comes first.",0,other,22,100
29,False,rephrase,,"Please provide the alphabetical order of ""{word1}"" and ""{word2}"" and indicate which word comes first.",1,other,22,100
30,False,rephrase,,"Please determine the position of ""{word1}"" and ""{word2}"" in alphabetical order.",0,other,18,100
31,False,rephrase,,"Arrange the words ""{word1}"" and ""{word2}"" in alphabetical order and provide the word that comes first.",1,other,23,100
32,False,rephrase,,"What is the alphabetical order of the words ""{word1}"" and ""{word2}""?",0,other,18,100
