prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: In the sentence ""{sentence}"", which word comes right before the word ""{word}""?
A:",1,Q&A,21,100
2,True,default,,"Q: In the sentence ""{sentence}"", which word immediately precedes the word ""{word}""?
A:",1,Q&A,21,100
3,True,default,,"Q: Which word comes right before ""{word}"" in the sentence ""{sentence}""?
A:",1,Q&A,19,100
4,False,rephrase,,"What is the word that immediately precedes the word ""{word}"" in the sentence ""{sentence}""?",1,other,20,100
5,False,rephrase,,"What is the word immediately preceding ""{word}"" in the sentence ""{sentence}""?",1,other,16,100
6,False,rephrase,,"What is the word that immediately precedes ""{word}"" in the sentence ""{sentence}""?",1,other,18,100
7,False,rephrase,,"What is the word immediately preceding ""{word}"" in ""{sentence}""?",1,other,14,100
8,False,rephrase,,"What is the word that precedes the word ""{word}"" in the sentence ""{sentence}""?",1,other,19,100
9,False,rephrase,,"What is the word that precedes the term ""{word}"" in the sentence ""{sentence}""?",1,other,19,100
10,False,rephrase,,"What is the word immediately preceding the word ""{word}"" in the sentence ""{sentence}""?",1,other,18,100
11,False,rephrase,,"What is the word immediately preceding ""{word}"" in the sentence: ""{sentence}""?",1,other,17,100
12,False,rephrase,,"What is the word that comes directly before ""{word}"" in the sentence ""{sentence}""?",1,other,18,100
13,False,rephrase,,"What is the word that directly comes before ""{word}"" in the sentence ""{sentence}""?",1,other,18,100
14,False,rephrase,,"What is the word that comes right before ""{word}"" in the sentence ""{sentence}""?",1,other,18,100
15,False,rephrase,,"What is the word that comes before ""{word}"" in the sentence ""{sentence}""?",1,other,17,100
16,False,rephrase,,"Which word comes just before the word ""{word}"" in the sentence ""{sentence}""?",1,other,17,100
17,False,rephrase,,"Which word comes before the word ""{word}"" in ""{sentence}""?",1,other,14,100
18,False,rephrase,,"What is the word that comes right before ""{word}"" in the sentence, ""{sentence}""?",1,other,19,100
19,False,rephrase,,"What is the word that directly comes before ""{word}"" in the sentence, ""{sentence}""?",1,other,19,100
20,False,rephrase,,"What is the word that precedes ""{word}"" in the sentence ""{sentence}""?",1,other,17,100
21,False,rephrase,,"What is the word that immediately precedes ""{word}"" in ""{sentence}""?",1,other,16,100
22,False,rephrase,,"What word immediately precedes ""{word}"" in the given sentence ""{sentence}""?",1,other,16,100
23,False,rephrase,,"What is the word immediately preceding ""{word}"" in the statement ""{sentence}""?",1,other,16,100
24,False,rephrase,,"What is the word that appears immediately before ""{word}"" in ""{sentence}""?",1,other,16,100
25,False,rephrase,,"What is the word preceding ""{word}"" in the sentence ""{sentence}""?",1,other,15,100
26,False,rephrase,,"'Q: In the sentence ""{sentence}"", what is the preceding word of ""{word}""?'",1,other,19,100
27,False,rephrase,,"What is the word that precedes ""{word}"" in ""{sentence}""?",1,other,15,100
28,False,rephrase,,What is the word that immediately precedes the term '{word}' in the following sentence: '{sentence}'?,1,other,22,100
29,False,rephrase,,What is the word immediately preceding '{word}' in the sentence '{sentence}'?,1,other,16,100
30,False,rephrase,,Provide the word that immediately precedes the term '{word}' in the following sentence: '{sentence}'.,1,other,20,100
31,False,rephrase,,Identify the word that immediately precedes '{word}' in the following sentence: '{sentence}'.,1,other,19,100
32,False,rephrase,,"Can you provide the word that immediately precedes the term '{word}' in the following sentence: ""{sentence}""?",1,other,23,100
33,False,rephrase,,What is the word that comes before '{word}' in the sentence '{sentence}'?,1,other,17,100
34,False,rephrase,,"What is the word right before ""{word}"" in the following sentence: ""{sentence}""?",1,other,18,100
35,False,rephrase,,"Given a sentence ""{sentence}"" please provide the word that comes before the word ""{word}"".",1,other,18,100
36,False,rephrase,,"What is the preceding word of ""{word}"" in ""{sentence}""?",1,other,14,100
37,False,rephrase,,"What is the word that comes right before the word ""{word}"" in the given sentence ""{sentence}""?",1,other,21,100
38,False,rephrase,,"Can you provide the word that immediately precedes ""{word}"" in the sentence ""{sentence}""?",1,other,19,100
39,False,rephrase,,"Can you provide the word that precedes ""{word}"" in the sentence ""{sentence}""?",1,other,18,100
40,False,rephrase,,Provide the word that immediately precedes '{word}' in the given sentence: '{sentence}'.,1,other,18,100
41,False,rephrase,,Can you provide a sentence and the word you want to locate?,0,other,13,100
42,False,rephrase,,What is the preceding word in the sentence '{sentence}' before the word '{word}'?,1,other,18,100
43,False,rephrase,,"Given a sentence and a word, provide the word that precedes the specified word in the sentence.",0,other,20,100
44,False,rephrase,,"Can you provide the word that precedes ""{word}"" in ""{sentence}""?",1,other,16,100
45,False,meta_cot,,"What is the word that precedes ""{word}"" in the sentence ""{sentence}""?",1,other,17,100
46,False,meta_cot,,"Identify the word that comes directly before ""{word}"" in the sentence ""{sentence}"".",1,other,17,100
47,False,meta_cot,,"What is the word that appears just before ""{word}"" in the sentence ""{sentence}""?",1,other,18,100
48,False,meta_cot,,"What comes before ""{word}"" in the sentence ""{sentence}""?",0,other,13,100
49,False,meta_cot,,"Identify the word that immediately precedes ""{word}"" in the sentence ""{sentence}""",1,other,17,100
50,False,meta_cot,,"What is the word that comes before ""{word}"" in the sentence ""{sentence}""?",1,other,17,100
51,False,meta_cot,,"What is the word that immediately precedes the word ""{word}"" in the sentence ""{sentence}""?",1,other,20,100
52,False,meta_cot,,"What is the preceding word of ""{word}"" in the sentence ""{sentence}""?",1,other,16,100
