prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Are any of the words {words} types of {category}? Answer either ""yes"" or ""no"".
A:",1,Q&A,26,100
2,True,default,,"Q: Do any of the words {words} represent {category}? Answer either ""yes"" or ""no"".
A:",1,Q&A,25,100
3,True,default,,"Q: Does the list [{words}] contain any {category}? Answer either ""yes"" or ""no"".
A:",1,Q&A,24,100
4,False,rephrase,,"Can {category} be classified as any of the {words} provided? Please respond with a ""yes"" or ""no"".",1,other,26,100
5,False,rephrase,,"Can the words {words} be classified under the category of {category}? Please respond with either ""yes"" or ""no"".",0,other,26,100
6,False,rephrase,,"Can {category} be classified as any of the following {words}? Please respond with a ""yes"" or ""no"".",1,other,25,100
7,False,rephrase,,"Can {category} be attributed to any of the {words}? Respond with a ""yes"" or ""no"".",1,other,23,100
8,False,rephrase,,"Can the words {words} be classified as {category}? Please respond with either ""yes"" or ""no"".",0,other,23,100
9,False,rephrase,,"Can {category} be classified as one of the {words} provided? Please respond with a ""yes"" or ""no"".",1,other,26,100
10,False,rephrase,,"Can {category} be classified as any of the words {words}? Please respond with a ""yes"" or ""no"".",1,other,25,100
11,False,rephrase,,"Can {category} be classified as any of the following {words}? Respond with a ""yes"" or ""no"".",1,other,24,100
12,False,rephrase,,"Is {category} represented by any of the words {words}? Please respond with a ""yes"" or ""no"".",1,other,24,100
13,False,rephrase,,"Can {category} be represented by any of the {words} listed? Please respond with either ""yes"" or ""no"".",1,other,26,100
14,False,rephrase,,"Identify if any of the {words} fall under the {category} by responding with a ""yes"" or ""no"".",1,other,26,100
15,False,rephrase,,"Can {category} be represented by any of the words {words}? Please respond with either ""yes"" or ""no"".",1,other,25,100
16,False,rephrase,,"Can {category} be represented by any of the {words}? Please respond with either ""yes"" or ""no"".",1,other,24,100
17,False,rephrase,,"Can {category} be represented by any of the {words}? Please respond with a ""yes"" or ""no"".",1,other,24,100
18,False,rephrase,,"Can the category {category} be represented by any of the {words} listed? Please respond with either ""yes"" or ""no"".",1,other,28,100
19,False,rephrase,,"Identify if any of the {words} fall under the category of {category}. Respond with a simple ""yes"" or ""no"".",1,other,28,100
20,False,rephrase,,"Can you confirm if the {category} is present in the list [{words}]? Please respond with a ""yes"" or ""no"".",1,other,28,100
21,False,rephrase,,"Can you confirm if the category {category} is present in the list [{words}]? Please respond with a ""yes"" or ""no"".",1,other,29,100
22,False,rephrase,,"Can you determine if the category {category} is present in the list [{words}]? Please respond with a simple ""yes"" or ""no"".",1,other,30,100
23,False,rephrase,,"Can you confirm if the list [{words}] includes any {category}? Respond with either ""yes"" or ""no"".",1,other,24,100
24,False,rephrase,,Can you confirm if the category {category} is present in the list [{words}]? Please respond with a simple 'yes' or 'no'.,1,other,30,100
25,False,rephrase,,"Is there any {category} present in the list [{words}]? Please respond with a ""yes"" or ""no"".",1,other,25,100
26,False,rephrase,,"Can you confirm whether the category {category} is present in the list [{words}]? Please respond with either ""yes"" or ""no"".",1,other,29,100
27,False,rephrase,,"Is {category} present in the list [{words}]? Respond with either ""yes"" or ""no"".",1,other,22,100
28,False,rephrase,,"Can you identify if any of the {words} belong to the category of {category}? Please respond with either a ""yes"" or ""no"".",1,other,30,100
29,False,rephrase,,"Identify if any of the {words} belong to the category of {category}. Respond with a simple ""yes"" or ""no"".",1,other,28,100
30,False,rephrase,,"Can you identify if any of the given {words} belong to the category of {category}? Please respond with a simple ""yes"" or ""no"".",1,other,31,100
31,False,rephrase,,"Can you identify if any of the given {words} fall under the category of {category}? Please respond with a simple ""yes"" or ""no"".",1,other,31,100
32,False,rephrase,,"Identify whether any of the {words} belong to the category of {category}. Respond with a simple ""yes"" or ""no"".",1,other,28,100
