prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Which word sounds like the word ""{query}"", ""{word1}"" or ""{word2}""?
A:",1,Q&A,23,100
2,True,default,,"Q: Of the two words ""{word1}"" and ""{word2}"", which one sounds more like ""{query}""?
A:",1,Q&A,26,100
3,True,default,,"Q: Which is a homophone of the word ""{query}"", ""{word1}"" or ""{word2}""?
A:",1,Q&A,25,100
4,False,rephrase,,"Can you identify which word, ""{word1}"" or ""{word2}"", sounds similar to ""{query}""?",1,other,22,100
5,False,rephrase,,"Which of these two words, ""{word1}"" or ""{word2}"", sounds similar to the word ""{query}""?",1,other,24,100
6,False,rephrase,,"Which of the two words, ""{word1}"" or ""{word2}"", sounds similar to ""{query}""?",1,other,22,100
7,False,rephrase,,"Can you tell which word, ""{word1}"" or ""{word2}"", sounds similar to ""{query}""?",1,other,22,100
8,False,rephrase,,"Can you identify which word, ""{word1}"" or ""{word2}"", has a similar sound to ""{query}""?",1,other,24,100
9,False,rephrase,,"Can you identify which word, between ""{word1}"" and ""{word2}"", sounds similar to ""{query}""?",1,other,23,100
10,False,rephrase,,"""Out of the two words, ""{word1}"" and ""{word2}"", which one sounds similar to ""{query}""?",1,other,25,100
11,False,rephrase,,"Between the words ""{word1}"" and ""{word2}"", which one sounds similar to the word ""{query}""? ",1,other,24,100
12,False,rephrase,,"Which word, ""{word1}"" or ""{word2}"", has a closer phonetic resemblance to ""{query}""?",1,other,23,100
13,False,rephrase,,"Which of the words ""{word1}"" and ""{word2}"" has a closer phonetic resemblance to ""{query}""?",1,other,24,100
14,False,rephrase,,"Which of the words ""{word1}"" and ""{word2}"" has a closer sound to ""{query}""?",1,other,22,100
15,False,rephrase,,"Which of the words ""{word1}"" and ""{word2}"" has a closer phonetic resemblance to the term ""{query}""?",1,other,26,100
16,False,rephrase,,"Which of the two words, ""{word1}"" or ""{word2}"", has a closer phonetic resemblance to ""{query}""?",1,other,26,100
17,False,rephrase,,"Which of the two words, ""{word1}"" or ""{word2}"", has a closer sound to ""{query}""?",1,other,24,100
18,False,rephrase,,"Which of the words ""{word1}"" and ""{word2}"" has a sound that is more similar to ""{query}""?",1,other,25,100
19,False,rephrase,,"Which word, ""{word1}"" or ""{word2}"", has a closer sound to ""{query}""?",1,other,21,100
20,False,rephrase,,"Can you identify the homophone of ""{query}"" - is it ""{word1}"" or ""{word2}""?",1,other,23,100
21,False,rephrase,,"Can you identify the homophone of ""{query}"" between ""{word1}"" and ""{word2}""?",1,other,21,100
22,False,rephrase,,"What is the homophone of the word ""{query}"" - ""{word1}"" or ""{word2}""?",1,other,22,100
23,False,rephrase,,"""Identify the homophone of the term ""{query}"" among ""{word1}"" and ""{word2}"".",1,other,22,100
24,False,rephrase,,"Can you identify the homophone of the term ""{query}"" - is it ""{word1}"" or ""{word2}""?",1,other,25,100
25,False,rephrase,,"Can you identify the homophone of ""{query}"" - ""{word1}"" or ""{word2}""?",1,other,21,100
26,False,rephrase,,"Can you identify which word, ""{query}"", is a homophone, ""{word1}"" or ""{word2}""?",0,other,24,100
27,False,rephrase,,"Which word is a homophone of ""{query}"" - ""{word1}"" or ""{word2}""?",1,other,21,100
28,False,rephrase,,"What is the word that sounds similar to ""{query}"" - ""{word1}"" or ""{word2}""?",1,other,22,100
29,False,rephrase,,"Can you identify which word, between ""{word1}"" and ""{word2}"", sounds similar to the word ""{query}""?",1,other,25,100
30,False,rephrase,,"What is the word that sounds similar to '{query}', is it '{word1}' or '{word2}'?",1,other,23,100
31,False,rephrase,,What is the word that sounds similar to '{query}' - '{word1}' or '{word2}'?,1,other,22,100
32,False,rephrase,,What is the word that sounds similar to '{query}'? Is it '{word1}' or '{word2}'?,1,other,24,100
33,False,rephrase,,"Can you determine which word, {word1} or {word2}, sounds similar to the word ""{query}""?",1,other,24,100
34,False,rephrase,,"Choose the word that sounds similar to ""{query}"" - ""{word1}"" or ""{word2}""?",1,other,21,100
35,False,rephrase,,Complete the sentence: '{query}' and choose the word that fits best: '{word1}' or '{word2}'?,0,other,25,100
36,False,rephrase,,"Which of the following words, ""{word1}"" or ""{word2}"", has a closer sound to the query ""{query}""?",1,other,26,100
37,False,rephrase,,"""Which of the two terms, ""{word1}"" or ""{word2}"", do you think best matches the description of ""{query}""?",0,other,28,100
38,False,rephrase,,"Which of the following words, ""{word1}"" or ""{word2}"", has a closer phonetic resemblance to the term ""{query}""?",1,other,28,100
39,False,rephrase,,"Which of the following words, ""{word1}"" or ""{word2}"", has a sound that is more similar to ""{query}""?",1,other,27,100
40,False,rephrase,,"Which of the following two words, ""{word1}"" or ""{word2}"", sounds more similar to the term ""{query}""?",1,other,26,100
41,False,rephrase,,"Which of the following words, ""{word1}"" or ""{word2}"", sounds more similar to the term ""{query}""?",1,other,25,100
42,False,rephrase,,"Which word, '{word1}' or '{word2}', do you think best matches the sound of the word '{query}'?",1,other,26,100
43,False,rephrase,,"Which word, '{word1}' or '{word2}', sounds more similar to the term '{query}'?",1,other,22,100
44,False,rephrase,,What are the two homophones of the word '{query}'?,0,other,14,100
45,False,rephrase,,What is the homophone for the word '{query}' - '{word1}' or '{word2}'?,1,other,22,100
46,False,rephrase,,"What are the homophones of the word ""{query}""?",0,other,13,100
47,False,rephrase,,Can you identify the homophone of '{query}' from the options '{word1}' and '{word2}'?,1,other,23,100
48,False,rephrase,,"What is the homophone for ""{query}"" - ""{word1}"" or ""{word2}""?",1,other,20,100
49,False,rephrase,,"Please provide the homophone for the word ""{query}"" - is it ""{word1}"" or ""{word2}""?",1,other,24,100
50,False,rephrase,,Can you provide me with the homophone for the word '{query}' - is it '{word1}' or '{word2}'?,1,other,27,100
51,False,rephrase,,"What is a homophone for the term ""{query}"" - ""{word1}"" or ""{word2}""?",1,other,22,100
52,False,meta_cot,,"Which of these two words, {word1} and {word2}, sounds more like {query}?",1,other,21,100
53,False,meta_cot,,"Out of {word1} and {word2}, which one sounds like {query}?",1,other,18,100
54,False,meta_cot,,"Which word, {word1} or {word2}, sounds like {query}?",1,other,17,100
55,False,meta_cot,,Do {word1} and {word2} sound the same as {query}?,0,other,17,100
56,False,meta_cot,,"Which word, {word1} or {word2}, is pronounced similarly to {query}?",1,other,19,100
57,False,meta_cot,,"Can you tell me which word, {word1} or {word2}, has the same pronunciation as {query}?",1,other,24,100
58,False,meta_cot,,"Which word, {word1} or {word2}, is a homophone of {query}?",1,other,20,100
59,False,meta_cot,,"Which of the two words, {word1} and {word2}, sounds more like {query}?",1,other,21,100
60,False,meta_cot,,Do you think {word1} or {word2} sounds more like {query}?,0,other,18,100
61,False,meta_cot,,"Out of {word1} and {word2}, which one do you think sounds more like {query}?",1,other,22,100
62,False,meta_cot,,"Can you tell me which word, {word1} or {word2}, sounds more like {query}?",1,other,22,100
63,False,meta_cot,,"Which word, {word1} or {word2}, do you think sounds more like {query}?",1,other,21,100
64,False,meta_cot,,"Please tell me, does {word1} or {word2} sound more like {query}?",1,other,20,100
65,False,meta_cot,,"I need to know which word, {word1} or {word2}, sounds more like {query}.",1,other,22,100
66,False,meta_cot,,Which one of {word1} and {word2} sounds more like {query}?,1,other,18,100
67,False,meta_cot,,"Which of the two words, {word1} and {word2}, sounds more like the word ""{query}""?",1,other,24,100
68,False,meta_cot,,"Out of the two words, {word1} and {word2}, which one sounds like ""{query}""?",1,other,23,100
69,False,meta_cot,,"Do ""{word1}"" and ""{word2}"" sound the same as the word ""{query}""?",0,other,20,100
70,False,meta_cot,,"Which word, ""{word1}"" or ""{word2}"", sounds like ""{query}""?",1,other,18,100
71,False,meta_cot,,"If you say ""{word1}"" and ""{word2}"" out loud, which one sounds more like ""{query}""?",1,other,24,100
72,False,meta_cot,,"Which word, ""{word1}"" or ""{word2}"", is a homophone of ""{query}""?",1,other,21,100
73,False,meta_cot,,"Which word, ""{word1}"" or ""{word2}"", has the same pronunciation as ""{query}""?",1,other,21,100
74,False,meta_cot,,"Are ""{word1}"" and ""{word2}"" pronounced the same as ""{query}""?",0,other,18,100
75,False,meta_cot,,"Which word, ""{word1}"" or ""{word2}"", is pronounced like ""{query}""?",1,other,19,100
76,False,meta_cot,,"If you were to say ""{word1}"" and ""{word2}"" aloud, which one would sound more like ""{query}""?",1,other,26,100
77,False,meta_cot,,"Which word sounds more like {query}, {word1} or {word2}?",1,other,17,100
78,False,meta_cot,,"Can you tell me which word, {word1} or {word2}, sounds like {query}?",1,other,21,100
79,False,meta_cot,,Do you think {word1} or {word2} is a better match for the sound of {query}?,1,other,23,100
80,False,meta_cot,,Identify the homophone of {query}: {word1} or {word2}?,1,SEP_VARS,18,100
81,False,meta_cot,,Which of the words '{word1}' and '{word2}' sounds more like '{query}'?,1,other,20,100
82,False,meta_cot,,"Out of the two words '{word1}' and '{word2}', which one do you think sounds more like '{query}'?",1,other,26,100
83,False,meta_cot,,"Can you tell me which word, '{word1}' or '{word2}', sounds more like '{query}'?",1,other,23,100
84,False,meta_cot,,"Among '{word1}' and '{word2}', which one is the homophone of '{query}'?",1,other,21,100
85,False,meta_cot,,"Which word, '{word1}' or '{word2}', has the same pronunciation as '{query}'?",1,other,21,100
86,False,meta_cot,,"Which of these words, {word1} or {word2}, sounds more like {query}?",1,other,20,100
87,False,meta_cot,,"Out of the two options, {word1} and {word2}, which one do you think sounds more like {query}?",1,other,26,100
88,False,meta_cot,,"When you hear the word {query}, which word comes to mind, {word1} or {word2}?",0,other,23,100
89,False,meta_cot,,"If you had to choose between {word1} and {word2}, which one do you think sounds more like {query}?",1,other,26,100
90,False,meta_cot,,"Which of the words, {word1} and {word2}, do you think is a homophone of {query}?",1,other,25,100
91,False,meta_cot,,"Which of the two words, {word1} or {word2}, sounds more like the word {query}?",1,other,23,100
92,False,meta_cot,,"Which word is a homophone of {query}, {word1} or {word2}?",1,other,19,100
93,False,meta_cot,,Do {word1} and {word2} sound similar to {query}?,0,other,16,100
94,False,meta_cot,,"Out of {word1} and {word2}, which one is pronounced similarly to {query}?",1,other,20,100
95,False,meta_cot,,"Can you tell which word, {word1} or {word2}, sounds like {query}?",1,other,20,100
96,False,meta_cot,,"If you had to choose between {word1} and {word2}, which one sounds more like {query}?",1,other,23,100
97,False,meta_cot,,I'm trying to figure out which word is a homophone of {query}. Would you say it's {word1} or {word2}?,1,other,30,100
98,False,meta_cot,,"Between {word1} and {word2}, which one do you think sounds like {query}?",1,other,20,100
99,False,meta_cot,,"Which word, {word1} or {word2}, sounds like {query} to you?",1,other,20,100
100,False,meta_cot,,Is {word1} or {word2} more likely to be a homophone of {query}?,1,other,21,100
101,False,meta_cot,,"Let me ask you, does {word1} or {word2} sound more like {query} to your ears?",0,other,25,100
102,False,meta_cot,,"I'm trying to think of which word, {word1} or {word2}, sounds like {query} when spoken aloud. Can you help me out?",1,other,33,100
103,False,meta_cot,,"Which of the two options, {word1} or {word2}, do you think is a homophone of {query}?",1,other,26,100
104,False,meta_cot,,"If you had to guess, which word, {word1} or {word2}, do you think sounds more like {query}?",1,other,27,100
105,False,meta_cot,,"Which of the following words, {word1} or {word2}, sounds more similar in pronunciation to the word ""{query}""?",1,other,27,100
106,False,meta_cot,,"In reference to the word ""{query}"", which of the words ""{word1}"" and ""{word2}"" sounds more like it?",1,other,26,100
107,False,meta_cot,,"Which word, ""{word1}"" or ""{word2}"", sounds like the word ""{query}""?",1,other,20,100
108,False,meta_cot,,"Of the two words ""{word1}"" and ""{word2}"", which one is pronounced more similarly to the word ""{query}""?",1,other,26,100
109,False,meta_cot,,"Which of the words ""{word1}"" and ""{word2}"" is a homophone of the word ""{query}""?",1,other,24,100
110,False,meta_cot,,Which of the words {word1} and {word2} sounds more like {query}?,1,other,19,100
111,False,meta_cot,,"Out of {word1} and {word2}, which word sounds more like {query}?",1,other,19,100
112,False,meta_cot,rich_vocab,"Which of the two words, {word1} or {word2}, do you think sounds more like the word {query}?",1,other,26,100
113,False,meta_cot,rich_vocab,"Can you tell me which word, {word1} or {word2}, sounds more like the word {query}?",1,other,24,100
114,False,meta_cot,rich_vocab,"Out of the two words, {word1} and {word2}, which one do you think sounds more like {query}?",1,other,26,100
115,False,meta_cot,rich_vocab,"Do you know which of the two words, {word1} or {word2}, sounds more like the word {query}?",1,other,26,100
116,False,meta_cot,rich_vocab,"Which word, {word1} or {word2}, is a homophone of the word {query}?",1,other,22,100
117,False,meta_cot,rich_vocab,"Which of these words, {word1} or {word2}, sounds more like {query}?",1,other,20,100
118,False,meta_cot,rich_vocab,"Out of {word1} and {word2}, which one is a better homophone for {query}?",1,other,22,100
119,False,meta_cot,rich_vocab,"Which word, {word1} or {word2}, has a more similar sound to {query}?",1,other,21,100
120,False,meta_cot,rich_vocab,"If you had to choose between {word1} and {word2}, which one would you say sounds more like {query}?",1,other,26,100
121,False,meta_cot,rich_vocab,"Which word, {word1} or {word2}, do you think is a closer match to the sound of {query}?",1,other,26,100
122,False,meta_cot,rich_vocab,"Can you tell me which of these two words, {word1} and {word2}, is a better homophone for {query}?",1,other,28,100
123,False,meta_cot,rich_vocab,"Which word, {word1} or {word2}, do you think is more likely to be confused with {query} due to their similar sounds?",1,other,31,100
124,False,meta_cot,rich_vocab,"Between {word1} and {word2}, which one do you think is a better match to the sound of {query}?",1,other,26,100
