prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Which of the following is a humorous edit of this artist or movie name: '{artist_or_movie_name}'?
Options:
{options}
A:",1,Q&A,31,100
2,False,rephrase,,"Select the option that 'ruins' the name of {artist_or_movie_name} from the following: 
{options}",1,other,25,100
3,False,rephrase,,"Which of the following options is a funny way to 'ruin' the name of {artist_or_movie_name} from the list below?
Options:
{options}",1,other,33,100
4,False,rephrase,,"Choose the option that humorously 'ruins' the name of {artist_or_movie_name} from the following: 
{options}",1,other,27,100
5,False,rephrase,,"Which of the following options is a funny way to 'ruin' {artist_or_movie_name}'s name?
Options:
{options}",1,other,28,100
6,False,rephrase,,"Select the option that humorously 'ruins' the name of {artist_or_movie_name} from the following: 
{options}",1,other,27,100
7,False,rephrase,,"Select the option that 'ruins' the name of {artist_or_movie_name}. Which of the following is the correct humorous edit?
Options:
{options}",1,other,32,100
8,False,rephrase,,Select the option that humorously 'ruins' the name of {artist_or_movie_name} from the following: {options},1,SEP_VARS,26,100
9,False,rephrase,,Select the option that humorously 'ruins' the name of {artist_or_movie_name} from the following choices: {options}.,1,SEP_VARS,27,100
10,False,rephrase,,"Which of the following options is a humorous edit of the {artist_or_movie_name}?
Choose from the following:
{options}",1,other,26,100
11,False,rephrase,,"Select the option that 'ruins' the name of {artist_or_movie_name}. Which of the following is a humorous edit?
Options:
{options}",1,other,31,100
12,False,rephrase,,"Which of the following options is a funny way to 'ruin' {artist_or_movie_name}? Choose from the following:
{options}",1,other,28,100
13,False,rephrase,,"Which of the following options is a comical alteration of the {artist_or_movie_name} name?
Options:
{options}
Answer:",1,other,27,100
14,False,rephrase,,"Which of the following options is a funny way to ""ruin"" the name of {artist_or_movie_name}?
Choose from the following:
{options}",1,other,32,100
15,False,rephrase,,Select the option that 'ruins' the input movie or musical artist name: '{artist_or_movie_name}'. Which of the following {options} is the correct humorous edit?,1,other,35,100
16,False,rephrase,,"Select the option that humorously 'ruins' the {artist_or_movie_name} name from the following: 
{options}",1,other,26,100
17,False,rephrase,,"Select the option that humorously 'ruins' the name of {artist_or_movie_name}:
Options:
{options}",1,other,25,100
18,False,rephrase,,"Which of the following options would humorously 'ruin' {artist_or_movie_name} as a movie or musical artist name?
Options:
{options}",0,other,31,100
19,False,rephrase,,"Which of the following options is a funny edit of the name of this artist or movie: '{artist_or_movie_name}'?
Choose from the following:
{options}",1,other,33,100
20,False,rephrase,,"Which of the following options would humorously 'ruin' {artist_or_movie_name}?
Options:
{options}",1,other,24,100
21,False,rephrase,,"Select the option that humorously 'ruins' the {artist_or_movie_name}:
Options:
{options}",1,other,23,100
22,False,rephrase,,"Select the option that humorously 'ruins' the name of '{artist_or_movie_name}': 
Options:
{options}
A:",1,other,28,100
23,False,rephrase,,Select the option that 'ruins' the name of {artist_or_movie_name} from the following list of {options}.,1,other,25,100
24,False,rephrase,,"Select the option that 'ruins' the name of {artist_or_movie_name}. Which of the following options is a humorous edit? 
Options:
{options}
Choose your answer:",1,other,37,100
25,False,rephrase,,"Which of the following options is a funny alteration of the given movie or musical artist name: '{artist_or_movie_name}'?
Options:
{options}
Answer:",1,other,32,100
26,False,rephrase,,"Which of the following options would be a humorous edit of the {artist_or_movie_name} name?
Choose from the following:
{options}",1,other,28,100
27,False,rephrase,,"Q: Choose the option that humorously 'ruins' the name of the given artist or movie: '{artist_or_movie_name}'.
Options:
{options}
A:",1,Q&A,35,100
28,False,rephrase,,"Q: Choose the option that humorously 'ruins' the name of the artist or movie: '{artist_or_movie_name}'.
Options:
{options}
A:",1,Q&A,34,100
29,False,rephrase,,"Q: Choose the option that humorously 'ruins' the name of the {artist_or_movie_name}:
Options:
{options}
A:",1,Q&A,30,100
30,False,rephrase,,"Select the option that best 'ruins' the name of {artist_or_movie_name} in a humorous way:
Options:
{options}
A:",1,other,30,100
