prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Which statement is sarcastic?
Options:
{options}
A:",1,Q&A,15,100
2,False,rephrase,,"Which of the following statements is sarcastic?
Options:
{options}",1,other,14,100
3,False,rephrase,,"Determine which of the following statements is sarcastic:
{options}",1,other,14,100
4,False,rephrase,,"Which of the following sentences is sarcastic?
Options:
{options}",1,other,14,100
5,False,rephrase,,"Determine which statement is sarcastic from the following options:
{options}",1,other,15,100
6,False,rephrase,,"Determine the sarcastic statement among the following two:
Options:
{options}",1,other,16,100
7,False,rephrase,,"Determine the sarcastic sentence from the following options:
{options}",1,other,14,100
8,False,rephrase,,"Determine which sentence is sarcastic:
{options}",1,other,11,100
9,False,rephrase,,"Determine which sentence is sarcastic from the following options:
{options}",1,other,15,100
10,False,rephrase,,"Determine the sarcastic statement from the given options:
Options:
{options}",1,other,16,100
11,False,rephrase,,"Which statement is sarcastic? Choose one from the following options:
{options}",1,other,16,100
12,False,rephrase,,"Determine which sentence is sarcastic:
Options:
{options}",1,other,13,100
13,False,rephrase,,Which of the following {options} is a sarcastic statement?,1,other,13,100
14,False,rephrase,,"Determine the sarcastic sentence between the following options:
{options}",1,other,14,100
15,False,rephrase,,"Determine which of two given sentences is sarcastic.
Q: Which statement is sarcastic?
Options:
{options}
A:",1,Q&A,26,100
16,False,rephrase,,Determine which of the following statements is meant sarcastically: {options},1,SEP_VARS,15,100
17,False,rephrase,,"Determine which of the following statements is meant sarcastically:
{options}",1,other,15,100
18,False,rephrase,,"Determine the sarcastic statement among the following options:
{options}",1,other,14,100
19,False,rephrase,,"Determine the sentence that expresses sarcasm.
Options:
{options}",1,other,14,100
20,False,rephrase,,Which one of the following {options} is a sarcastic statement?,1,other,14,100
21,False,rephrase,,"Which of the following sentences is sarcastic?
Options:
{options}
Answer:",1,other,16,100
22,False,rephrase,,"Determine sarcasm in two statements:
Options:
{options}
Which statement is sarcastic?",1,other,19,100
23,False,rephrase,,"Which statement is sarcastic? Choose the correct one from the options provided.
Options:
{options}",1,other,20,100
24,False,rephrase,,"Q: Choose the sarcastic statement from the following options.
Options:
{options}
A:",1,Q&A,19,100
25,False,rephrase,,"Q: Identify the sarcastic sentence:
Options:
{options}",1,other,13,100
26,False,rephrase,,"Q: Determine the sarcastic statement from the following options:
Options:
{options}
A:",1,Q&A,19,100
27,False,rephrase,,"Q: Which of the following statements is sarcastic?
Choose one:
{options}
A:",1,Q&A,19,100
28,False,rephrase,,"Q: Which of the following sentences is sarcastic?
Options:
{options}
A:",1,Q&A,18,100
29,False,rephrase,,"Q: Which sentence is sarcastic?
Options:
{options}
A:",1,Q&A,15,100
30,False,rephrase,,"Q: Which of the following statements is sarcastic?
Options:
{options}
A:",1,Q&A,18,100
31,False,rephrase,,"Q: Which of the following statements is sarcastic?
Choose the correct option from the following:
{options}
A:",1,Q&A,24,100
32,False,rephrase,,Q: Which of the following {options} is a sarcastic statement?,1,other,15,100
33,False,rephrase,,"Q: Choose the sarcastic sentence from the following options:
Options:
{options}
A:",1,Q&A,19,100
34,False,rephrase,,"Q: Select the sarcastic statement from the following options:
Options:
{options}
A:",1,Q&A,19,100
35,False,rephrase,,"Q: Choose the sarcastic statement from the following options:
Options:
{options}
A:",1,Q&A,19,100
36,False,rephrase,,Q: Which of the following {options} is sarcastic?,1,other,13,100
37,False,rephrase,,"Q: Determine which sentence is sarcastic.
Options:
{options}
A:",1,Q&A,16,100
38,False,rephrase,,"Q: Identify the sarcastic statement.
Options:
{options}
Which one is it?",1,other,18,100
39,False,rephrase,,"Q: Choose the sarcastic sentence from the following options.
Options:
{options}
Which sentence is sarcastic?",1,other,23,100
40,False,rephrase,,"Q: Identify the sarcastic sentence from the following options:
Options:
{options}
A:",1,Q&A,19,100
41,False,rephrase,,"Q: Choose the sarcastic sentence from the options below.
Options:
{options}
A:",1,Q&A,19,100
42,False,rephrase,,"Q: Select the sarcastic statement from the following options.
Options:
{options}
A:",1,Q&A,19,100
43,False,rephrase,,"Q: Choose the sentence that contains sarcasm.
Options:
{options}
A:",1,Q&A,17,100
44,False,rephrase,,"Q: Choose the sarcastic statement from the options below:
Options:
{options}
A:",1,Q&A,19,100
45,False,rephrase,,"Q: Choose the sarcastic statement from the following options:
Options:
{options}
Sarcastic statement:",1,other,23,100
46,False,rephrase,,"Q: Choose the sarcastic sentence from the given options.
Options:
{options}
A:",1,Q&A,19,100
47,False,rephrase,,"Q: Identify the sentence that uses sarcasm?
Options:
{options}
A:",1,Q&A,17,100
48,False,rephrase,,"Q: Which statement uses sarcasm?
Options:
{options}
A:",1,Q&A,15,100
49,False,rephrase,,"Q: Which sentence uses sarcasm?
Options:
{options}
A:",1,Q&A,15,100
50,False,rephrase,,"Q: Choose the sarcastic statement from the options below.
Options:
{options}
A:",1,Q&A,19,100
51,False,rephrase,,"Q: Choose the sarcastic statement among the two.
Options:
{options}
A:",1,Q&A,18,100
52,False,meta_cot,,"Identify the sarcastic statement from the following options:
{options}
Please fill in the correct option in the answer section.",1,other,25,100
53,False,meta_cot,,"Among the given options, pick the one that is sarcastic:
{options}
Write the correct option in the answer section.",1,other,25,100
54,False,meta_cot,,"Choose the statement that is sarcastic from the following options:
{options}
Indicate the correct option in the answer section.",1,other,25,100
55,False,meta_cot,,"From the options below, select the statement that is sarcastic:
{options}
Provide the correct option in the answer section.",1,other,25,100
