prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Which sentence has the correct adjective order:
Options:
{options}
A:",1,Q&A,17,100
2,False,rephrase,,"Q: Choose the sentence that correctly orders the adjectives:
Options:
{options}
A:",1,Q&A,19,100
3,False,rephrase,,"Q: Choose the option that correctly orders the adjectives in the following sentence:
Options:
{options}
A:",1,Q&A,23,100
4,False,rephrase,,"Which of the following options has the correct order of adjectives in English sentences?
Options:
{options}
Answer:",1,other,23,100
5,False,rephrase,,"Q: Choose the option that has the correct order of adjectives in an English sentence:
Options:
{options}
A:",1,Q&A,25,100
6,False,rephrase,,"Q: Arrange the following adjectives in the correct order:
Options:
{options}
A:",1,Q&A,19,100
7,False,rephrase,,"Q: Choose the sentence that has the correct order of adjectives:
Options:
{options}
A:",1,Q&A,21,100
8,False,rephrase,,"Q: Arrange the adjectives in the correct order for the following sentence:
Options:
{options}
A:",0,Q&A,22,100
9,False,rephrase,,"Q: Choose the option that correctly orders the adjectives in an English sentence:
Options:
{options}
A:",1,Q&A,23,100
10,False,rephrase,,"Q: Choose the sentence that arranges adjectives in the correct order:
Options:
{options}
A:",1,Q&A,22,100
11,False,rephrase,,"Q: Arrange the given adjectives in the correct order:
Options:
{options}
A:",1,Q&A,19,100
12,False,rephrase,,"Q: Choose the option that correctly orders the adjectives in the sentence:
Options:
{options}
A:",1,Q&A,22,100
13,False,rephrase,,"Q: Choose the sentence with the correct adjective order:
Options:
{options}
A:",1,Q&A,18,100
14,False,rephrase,,"Which of the following sentences has the correct adjective order:
Options:
{options}
Answer:",1,other,18,100
15,False,rephrase,,"Q: Choose the sentence in which the adjectives are ordered correctly:
Options:
{options}
A:",1,Q&A,21,100
16,False,rephrase,,"Which of the following sentences has the correct order of adjectives: 
Options:
{options}
Answer:",1,other,21,100
17,False,rephrase,,"Q: Choose the option that arranges the adjectives in the correct order in the following sentence:
Options:
{options}
A:",1,Q&A,27,100
18,False,rephrase,,"Q: Choose the sentence that has the correct order of {options}:
Options:
{options}
A:",0,Q&A,22,100
19,False,rephrase,,"Which of the following options has the correct order of adjectives in an English sentence? 
Options:
{options}",1,other,23,100
20,False,rephrase,,"Q: Choose the sentence with the proper order of adjectives:
Options:
{options}
A:",1,Q&A,20,100
21,False,rephrase,,"Q: Choose the sentence that has the proper order of {options} adjectives:
Options:
{options}
A:",0,Q&A,24,100
22,False,rephrase,,"Q: Reorder the adjectives in the following sentences in the correct order:
Options:
{options}
A:",0,Q&A,23,100
23,False,rephrase,,"Q: Choose the sentence with the correct order of adjectives:
Options:
{options}
A:",1,Q&A,20,100
24,False,rephrase,,"Q: Choose the sentence that arranges the adjectives in the correct order:
Options:
{options}
A:",1,Q&A,23,100
25,False,rephrase,,"Q: Choose the option with the adjectives ordered correctly:
Options:
{options}
A:",1,Q&A,19,100
26,False,rephrase,,"Q: Which of the following {options} sentences correctly orders the adjectives in English? 
Options:",0,other,21,100
27,False,rephrase,,"Q: Arrange the adjectives in the following sentences in the correct order:
Options:
{options}
A:",0,Q&A,22,100
28,False,rephrase,,"Q: Choose the sentence that has the correct adjective order:
Options:
{options}
A:",1,Q&A,19,100
29,False,rephrase,,"Q: Arrange the adjectives correctly in the following sentence:
Options:
{options}
A:",0,Q&A,19,100
30,False,rephrase,,"Q: Which of the following options lists the adjectives in the correct order?
Options:
{options}
A:",1,Q&A,23,100
31,False,rephrase,,"Q: Choose the sentence below that has correctly ordered adjectives:
Options:
{options}
A:",1,Q&A,20,100
32,False,rephrase,,"Q: Choose the sentence with the correct order of adjectives from the options provided:
Options:
{options}
A:",1,Q&A,24,100
33,False,rephrase,,"Q: Determine the correct order of adjectives in the following sentences:
Options:
{options}
A:",0,Q&A,21,100
34,False,rephrase,,"Q: Rearrange the adjectives in the following sentences to achieve the correct adjective order:
Options:
{options}
A:",0,Q&A,25,100
35,False,rephrase,,"Q: Choose the sentence with the correct adjective order from the following options:
Options:
{options}
A:",1,Q&A,22,100
36,False,rephrase,,"Q: Arrange the adjectives in the correct order:
Options: {options}
A:",1,Q&A,18,100
37,False,rephrase,,"Q: Determine the correct ordering of adjectives in the following English sentence:
Options:
{options}
A:",0,Q&A,22,100
38,False,rephrase,,"Q: Arrange the following adjectives in the correct order in an English sentence:
Options:
{options}
A:",0,Q&A,23,100
39,False,rephrase,,"Q: Choose the option that shows the correct order of adjectives in the sentence:
Options:
{options}
A:",1,Q&A,24,100
40,False,rephrase,,"Q: Arrange the following adjectives in a correct order:
Options:
{options}
A:",1,Q&A,19,100
41,False,rephrase,,"Q: Choose the sentence with the correct adjective order from the options below:
Options:
{options}
A:",1,Q&A,22,100
42,False,rephrase,,"Q: Select the sentence that has the proper adjective order:
Options:
{options}
A:",1,Q&A,19,100
43,False,rephrase,,"Q: What is the correct order of adjectives in the following sentence?
Options:
{options}
A:",1,Q&A,22,100
44,False,rephrase,,"Choose the sentence below that demonstrates the correct order of adjectives:
Options:
{options}",1,other,18,100
45,False,meta_cot,,Which of the following sentences has the correct order of adjectives: {options},1,SEP_VARS,16,100
