prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Which word rhymes with the word ""{query}"", ""{word1}"" or ""{word2}""?
A:",1,Q&A,24,100
2,True,default,,"Q: Which is a rhyme of the word ""{query}"", ""{word1}"" or ""{word2}""?
A:",1,Q&A,24,100
3,True,default,,"Q: Of the words ""{word1}"" and ""{word2}"", which one rhymes with ""{query}""?
A:",1,Q&A,25,100
4,False,rephrase,,"Can you tell me which word rhymes with ""{query}"" - ""{word1}"" or ""{word2}""?",1,other,23,100
5,False,rephrase,,"Can you tell me which word, ""{word1}"" or ""{word2}"", rhymes with ""{query}""?",1,other,23,100
6,False,rephrase,,"Can you tell me which of these words, ""{word1}"" or ""{word2}"", rhymes with ""{query}""?",1,other,25,100
7,False,rephrase,,"Which word is a rhyme for ""{query}"": ""{word1}"" or ""{word2}""?",1,other,20,100
8,False,rephrase,,"Can you provide me with the word that rhymes with either ""{word1}"" or ""{word2}""?",0,other,22,100
9,False,rephrase,,"Can you tell me which of the two words, ""{word1}"" or ""{word2}"", rhymes with ""{query}""?",1,other,26,100
10,False,rephrase,,"Could you tell me which of these two words, ""{word1}"" or ""{word2}"", rhymes with ""{query}""?",1,other,26,100
11,False,rephrase,,"Rewritten prompt: Can you tell me which of the two words, ""{word1}"" or ""{word2}"", rhymes with ""{query}""?",0,other,30,100
12,False,rephrase,,"Can you provide the word that rhymes with either ""{word1}"" or ""{word2}""?",0,other,20,100
13,False,rephrase,,"Which word rhymes with ""{query}"", ""{word1}"" or ""{word2}""?",1,other,18,100
14,False,rephrase,,"Which word rhymes with ""{query}"" - ""{word1}"" or ""{word2}""?",1,other,19,100
15,False,rephrase,,"Q: Does ""{word1}"" or ""{word2}"" rhyme with ""{query}""?
A:",0,Q&A,22,100
16,False,rephrase,,"Can you provide a word that rhymes with both ""{word1}"" and ""{word2}""?",0,other,20,100
17,False,rephrase,,"Can you identify which word rhymes with ""{query}"" - ""{word1}"" or ""{word2}""?",1,other,22,100
18,False,rephrase,,"Can you provide a word that rhymes with ""{query}""? Is it ""{word1}"" or ""{word2}""?",1,other,25,100
