prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Find a movie similar to {movie_list}:
Options:
{options}
A:",1,Q&A,19,100
2,False,rephrase,,"Q: Can you suggest a movie that is similar to any of the following movies: {movie_list}?
Options:
{options}
A:",1,Q&A,29,100
3,False,rephrase,,"Q: Can you suggest a movie that is similar to {movie_list}?
Options:
{options}
A:",1,Q&A,23,100
4,False,rephrase,,"Q: Can you suggest a movie similar to the ones in {movie_list}?
Here are some options:
{options}
A:",1,Q&A,27,100
5,False,rephrase,,"Q: Can you suggest a movie similar to {movie_list}?
Choose from the following options:
{options}
A:",1,Q&A,25,100
6,False,rephrase,,"Q: Can you suggest a movie that is similar to any of the following {movie_list}:
Options:
{options}
A:",1,Q&A,27,100
7,False,rephrase,,"Q: Can you suggest a movie that is similar to any of the following: {movie_list}?
Options:
{options}
A:",1,Q&A,28,100
8,False,rephrase,,"Q: Can you suggest a movie that is similar to the movies in {movie_list}?
Options:
{options}
A:",1,Q&A,26,100
9,False,rephrase,,"Q: Can you suggest a movie that is similar to the following {movie_list}:
Here are some options:
{options}
A:",1,Q&A,28,100
10,False,rephrase,,"Q: Can you suggest a movie that is similar to {movie_list}?
Choose from the following options:
{options}
A:",1,Q&A,27,100
11,False,rephrase,,"Q: Can you suggest a movie similar to {movie_list}?
Pick from the following options:
{options}
A:",1,Q&A,25,100
12,False,rephrase,,"Q: Can you suggest a movie similar to {movie_list}?
Here are some options:
{options}
A:",1,Q&A,24,100
13,False,rephrase,,"Q: Can you recommend a movie similar to {movie_list}?
Here are some options:
{options}
A:",1,Q&A,24,100
14,False,rephrase,,"Q: Can you suggest a movie that is similar to any of these {movie_list}?
Options:
{options}
A:",1,Q&A,26,100
15,False,rephrase,,"Q: Can you recommend a movie similar to {movie_list} from the following options?
Options:
{options}
A:",1,Q&A,25,100
16,False,rephrase,,"Find a movie similar to the movies in {movie_list}. Which of the following options do you prefer?
Options:
{options}",1,other,26,100
17,False,rephrase,,"Q: Can you suggest a movie similar to the ones in {movie_list}?
Choose from the following options:
{options}
A:",1,Q&A,28,100
18,False,rephrase,,"Q: Could you suggest a movie that is similar to {movie_list}?
Here are some options:
{options}
A:",1,Q&A,26,100
19,False,rephrase,,"Q: Can you recommend a movie similar to the ones in {movie_list}?
Choose from the following options:
{options}
A:",1,Q&A,28,100
20,False,rephrase,,"Q: Can you recommend a movie similar to {movie_list}?
Choose from the following options:
{options}
A:",1,Q&A,25,100
21,False,rephrase,,"Q: Can you suggest a movie that is similar to the following list of movies: {movie_list}?
Choose one from the following options:
{options} 
A:",1,Q&A,35,100
22,False,rephrase,,"Q: Can you suggest a movie that is similar to the following: {movie_list}?
Listed below are your options:
{options}
A:",1,Q&A,31,100
23,False,rephrase,,"Q: Can you suggest a movie similar to {movie_list}? Choose from the following options:
Options:
{options}
A:",1,Q&A,26,100
24,False,rephrase,,"Q: Can you recommend a movie that is similar to the ones in {movie_list}?
Options:
{options}
A:",1,Q&A,26,100
25,False,rephrase,,"Q: Can you suggest a movie similar to the list of {movie_list}?
Choose from the following options:
{options}
A:",1,Q&A,28,100
26,False,rephrase,,"Q: Can you suggest a movie similar to {movie_list}?
Please choose from the following options:
{options}
A:",1,Q&A,26,100
27,False,rephrase,,"Q: Can you recommend a movie similar to {movie_list}? Choose from the following options:
Options:
{options}
A:",1,Q&A,26,100
28,False,rephrase,,"Q: Can you recommend a movie similar to the following {movie_list}?
Options:
{options}
A:",1,Q&A,23,100
29,False,rephrase,,"Q: Can you recommend a movie similar to the following list: {movie_list}? Choose from the following options:
Options:
{options}
A:",1,Q&A,30,100
