prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: ""{input}""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid
- invalid
A:",1,Q&A,31,100
2,False,rephrase,,"Distinguish whether the argument, given the explicitly stated premises, is a formal fallacy or deductively valid argument. 
Q: ""{input}""
Choose from the following options:
- valid
- invalid
A:",1,Q&A,43,100
3,False,rephrase,,"Distinguish whether the argument, given the explicitly stated premises, is {input} or a formal fallacy.",0,other,22,100
4,False,rephrase,,"Distinguish whether the argument, given the explicitly stated premises, is a formal fallacy or deductively {input}.",0,other,23,100
5,False,rephrase,,"Distinguish whether the argument, given the explicitly stated premises, is a formal fallacy or a deductively valid argument: ""{input}"". Choose from the following options:
- valid
- invalid",1,other,38,100
6,False,rephrase,,"Distinguish whether the argument, given the explicitly stated premises, is a formal fallacy or deductively valid. Is it {input}? Choose from the following options:
- valid
- invalid",0,other,38,100
7,False,rephrase,,"Q: ""Please classify the argument as either valid or invalid, given the explicitly stated premises: {input}""
Is the argument a deductively valid argument or a formal fallacy? 
Options:
- valid
- invalid
A:",1,Q&A,47,100
8,False,rephrase,,"Q: ""Please classify the argument as {input}. Is it deductively valid or invalid, given the explicitly stated premises?""
Options:
- valid
- invalid",1,other,32,100
9,False,rephrase,,"Distinguish between formal fallacies and deductively valid arguments given the explicitly stated premises in ""{input}"". Classify the argument as either valid or invalid.",1,other,30,100
10,False,rephrase,,"Q: ""Identify the formal fallacy in the argument {input}.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid
- invalid
A:",0,Q&A,42,100
11,False,rephrase,,Distinguish whether the argument presented for the explicitly stated premises regarding {input} is a formal fallacy or deductively valid argument. Is it valid or invalid?,1,other,32,100
12,False,rephrase,,"Q: ""Please classify the argument based on whether it is deductively {input} or a {input} argument, given the explicitly stated premises.""
What are your options?
- Valid
- Invalid",0,other,40,100
13,False,rephrase,,"Distinguish whether the argument, based on the explicitly stated premises, constitutes a formal fallacy or a {input} argument.",0,other,25,100
14,False,rephrase,,"Distinguish whether the argument provided, with the explicitly stated premises, is a formal fallacy or deductively valid. 
Q: ""{input}""
Classification: 
- valid
- invalid",1,other,37,100
15,False,rephrase,,"Q: ""Please classify the argument as either valid or invalid, based on the explicitly stated premises: {input}""
Is the argument, given the explicitly stated premises, deductively valid or invalid?",1,SEP_VARS,39,100
16,False,rephrase,,"Distinguish between formal fallacies and deductively valid arguments using the explicitly stated premises in ""{input}"". Is the argument classified as a formal fallacy or deductively valid?
Options:
- Formal fallacy
- Deductively valid argument",0,other,47,100
17,False,rephrase,,"Distinguish between formal fallacies and deductively valid arguments for the following proposition: ""{input}"". Is the argument deductively valid or are there formal fallacies present?
Options:
- valid 
- invalid",1,other,40,100
18,False,rephrase,,"Distinguish whether the argument presented in ""{input}"", given the explicitly stated premises, is a formal fallacy or deductively valid.
Options:
- Deductively valid
- Formal fallacy",0,other,38,100
19,False,rephrase,,"Q: ""Please classify the argument as valid or invalid given the explicitly stated premises of {input}.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid
- invalid",1,other,44,100
20,False,rephrase,,"Q: ""Identify whether the argument, based on the given explicitly stated premises, is {input} or a formal fallacy.""
What is your classification of the argument?
Options:
- valid
- invalid",0,other,42,100
21,False,rephrase,,"Q: ""Please classify the argument as either valid or invalid based on the explicitly stated premises provided in {input}.""
Is the argument given in the prompt an example of a deductively valid argument or a formal fallacy?
Options:
- valid
- invalid",1,other,52,100
22,False,rephrase,,"Can the argument {input}, given the explicitly stated premises, be classified as a deductively valid or invalid argument? Please choose from the following options:
- Valid
- Invalid",1,other,35,100
23,False,rephrase,,Distinguish {input} as either a deductively valid argument or a formal fallacy. Is it valid or invalid based on the explicitly stated premises?,1,other,30,100
24,False,rephrase,,"Q: ""Distinguish deductively valid arguments from {input}.""
Is the argument, based on the explicitly stated premises, considered as a valid or invalid deductive argument? 
Options:
- valid
- invalid",1,other,43,100
25,False,rephrase,,"Q: ""Can you identify if the argument is {input} based on the explicitly stated premises?""
Please choose from the following options:
- deductively valid
- a formal fallacy",0,other,37,100
26,False,rephrase,,"Q: ""Identify if this argument is {input}.""
Is the argument, given the explicitly stated premises, deductively {input} or is it a formal fallacy?
Options:
- valid
- invalid",0,other,43,100
27,False,rephrase,,"Q: ""Is the argument, given the explicitly stated premises, deductively valid or invalid for {input}?""
Please classify the argument as either valid or invalid based on the formal fallacies present in the premises. Choose one of the following options:
- valid
- invalid",1,other,55,100
28,False,rephrase,,"Q: ""Is the argument, given the explicitly stated premises, deductively valid or invalid for {input}?""
Please classify the argument as either deductively valid or invalid based on the explicitly stated premises. 
Options:
- valid
- invalid
A:",1,Q&A,52,100
29,False,rephrase,,"Q: ""Is the argument, given the explicitly stated premises, deductively valid or invalid for {input}?""
Please classify the argument as either valid or invalid based on the given premises.",0,other,38,100
30,False,rephrase,,"Q: ""Is the argument, given the explicitly stated premises, deductively valid or invalid for {input}?""
Please classify the argument as either valid or invalid based on its deductive reasoning.",0,other,39,100
31,False,rephrase,,"Q: ""Is the argument, given the explicitly stated premises, deductively valid or invalid? {input}""
Can you classify the argument as either valid or invalid based on the formal fallacies present in {input}?
Options:
- valid
- invalid
A:",1,Q&A,54,100
32,False,rephrase,,"Q: ""Is {input} a deductively valid argument or a formal fallacy?""
Options:
- deductively valid
- formal fallacy",0,other,29,100
33,False,rephrase,,"Q: ""Distinguish between deductively valid arguments and {input} using the explicitly stated premises.""
Is the argument valid or invalid?
Options:
- valid
- invalid
A:",0,Q&A,37,100
34,False,rephrase,,"Q: ""Distinguish between deductively valid arguments and {input} using explicitly stated premises.""
Is the argument deductively {input} given the explicitly stated premises?
Options:
- valid
- invalid
A:",0,Q&A,43,100
35,False,rephrase,,"Q: ""Distinguish between formal fallacies and deductively valid arguments based on the explicitly stated premises.""
Is the argument {input} valid or invalid?
Options:
- valid
- invalid
A:",0,Q&A,41,100
36,False,rephrase,,"Q: ""Distinguish whether the argument, given the explicitly stated premises, is deductively valid or a formal fallacy: {input}""
Options:
- valid
- invalid
A:",1,Q&A,38,100
37,False,rephrase,,"Q: ""Classify the argument as either a formal fallacy or deducively valid. The explicitly stated premises are {input}.""
Options:
- deductively valid
- formal fallacy",0,other,39,100
38,False,rephrase,,"Q: ""Is the argument {input}, given the explicitly stated premises, an example of a formal fallacy or is it deductively valid?""
Options:
- formal fallacy
- deductively valid",0,other,40,100
39,False,rephrase,,"Q: ""Is the {input} deductively valid or invalid?""
Please choose one of the following options:
- valid
- invalid
A:",0,Q&A,30,100
40,False,rephrase,,"Q: ""Distinguish whether the argument, given the explicitly stated premises, is a formal fallacy or a deductively valid argument: {input}""
Do you classify the argument as:
Options:
- Formal fallacy
- Deductively valid
A:",0,Q&A,52,100
41,False,rephrase,,"Q: ""Identify {input} as a deductively valid argument or a formal fallacy, given the explicitly stated premises.""
Options:
- valid
- invalid",0,other,33,100
42,False,rephrase,,"Q: ""Is {input} a deductively valid argument or a formal fallacy, given the explicitly stated premises?""
Options:
- deductively valid
- formal fallacy",0,other,35,100
43,False,rephrase,,"Q: ""Is the argument, given the explicitly stated premises, deductively valid or invalid for {input}?""
Please classify the argument as either valid or invalid based on the explicitly stated premises.",0,other,39,100
44,False,rephrase,,"Q: ""Distinguish whether the argument, given the explicitly stated premises, represents a formal fallacy or a deductively valid argument: {input}""
Select the applicable option:
- Deductively valid argument
- Formal fallacy argument",0,SEP_VARS,47,100
45,False,rephrase,,"Q: ""Based on the explicitly stated premises, determine if the argument exhibits a formal fallacy or is it {input}.""
Choose from the following options:
- valid
- invalid",0,other,37,100
46,False,rephrase,,"Q: ""Distinguish whether the following argument, which contains explicitly stated premises, is an example of a formal fallacy or a deductively valid argument: {input}.""
Options:
- formal fallacy
- deductively valid",0,SEP_VARS,46,100
47,False,rephrase,,"Q: ""Distinguish between {input} that are deductively valid and those that are formal fallacies.""
Classify the argument as:
- Valid
- Invalid",0,other,33,100
48,False,rephrase,,"Q: ""Distinguish between deductively valid arguments and {input}.""
Is the argument, considering the explicitly stated premises, {input} or valid?
Options:
- valid
- {input}",0,other,40,100
49,False,rephrase,,"Q: ""Identify whether {input} is a formal fallacy or a deductively valid argument.""
Options: 
- Formal fallacy
- Deductively valid",0,other,34,100
