prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Is the following sentence plausible?
""{sentence}""
A:",1,Q&A,13,100
2,False,rephrase,,Q: Can {sentence} be considered a valid statement related to sports?,1,other,15,100
3,False,rephrase,,"Q: Can {sentence} be considered a plausible sentence related to sports? 
A:",1,Q&A,18,100
4,False,rephrase,,"Q: Can you determine whether the following sentence related to sports is plausible or not?
""{sentence}""
A:",1,Q&A,22,100
5,False,rephrase,,"Q: Can {sentence} be considered a valid statement related to sports? 
A:",1,Q&A,18,100
6,False,rephrase,,"Q: Can you determine if the following sentence related to sports is plausible?
""{sentence}""
A:",1,Q&A,20,100
7,False,rephrase,,"Q: Can you determine whether the sentence ""{sentence}"" is related to sports or not?",0,other,18,100
8,False,rephrase,,"Q: Can you determine if the sentence related to sports is plausible?
""{sentence}""
A:",1,Q&A,19,100
9,False,rephrase,,"Q: Can it be determined whether the following sentence related to sports is plausible or not?
""{sentence}""
A:",1,Q&A,23,100
10,False,rephrase,,Q: Can {sentence} be considered a valid statement about sports?,1,other,14,100
11,False,rephrase,,"Q: Can it be determined whether the following sentence relating to sports is plausible or not?
""{sentence}""
A:",1,Q&A,23,100
12,False,rephrase,,"Q: Can we classify the following sentence related to sports as plausible or not?
""{sentence}""",1,other,19,100
13,False,rephrase,,"Determine the plausibility of the following sentence related to sports:
""{sentence}""",0,other,17,100
14,False,rephrase,,"Can you determine the plausibility of the following sentence related to sports?
""{sentence}""",1,other,18,100
15,False,rephrase,,"Q: Can it be determined whether the following sentence related to sports is plausible?
""{sentence}""
A:",1,Q&A,21,100
16,False,rephrase,,"Q: Given the sentence ""{sentence}"", can you classify it as plausible or not in terms of sports understanding?",1,other,22,100
17,False,rephrase,,"Given a sentence related to sports, determine if it is plausible or not.
Sentence:
""{sentence}""
Do you think the sentence is plausible? (Answer with yes or no)",1,other,35,100
18,False,rephrase,,"Q: Determine whether the following sentence, related to sports, is plausible or not.
""{sentence}""
A:",1,Q&A,22,100
19,False,rephrase,,"Can you determine whether the sentence ""{sentence}"" is related to sports or not?",1,other,16,100
20,False,rephrase,,"Q: Can the following sentence be related to sports?
""{sentence}""
A:",1,Q&A,16,100
21,False,rephrase,,"Q: Can you determine whether the sentence regarding sports is plausible or not?
""{sentence}""
A:",1,Q&A,20,100
22,False,rephrase,,"Q: Can it be inferred if the following sentence, which is related to sports, is possible or not?
""{sentence}""
A:",0,Q&A,27,100
23,False,rephrase,,Q: Can {sentence} be considered a sentence related to sports?,1,other,14,100
24,False,rephrase,,"Q: Can {sentence} be considered a valid statement related to sports?
A:",1,Q&A,17,100
25,False,rephrase,,"Q: Can the sentence ""{sentence}"" pertaining to sports be considered plausible?
A:",1,Q&A,17,100
26,False,rephrase,,"Determine if the following artificially constructed sentence related to sports is plausible or not:
""{sentence}""",1,other,19,100
27,False,rephrase,,"Q: Can GPT-3 determine the plausibility of the following sports-related sentence?
""{sentence}""
A:",0,Q&A,24,100
28,False,rephrase,,"Q: Can GPT-3 determine the plausibility of the following sentence related to sports?
""{sentence}""
A:",0,Q&A,25,100
29,False,rephrase,,"Q: Can GPT-3 determine the plausibility of a sentence related to sports?
Sentence:
""{sentence}""",0,other,24,100
30,False,rephrase,,"Q: Can GPT-3 determine the plausibility of a sentence related to sports?
""{sentence}""
A:",0,Q&A,24,100
31,False,rephrase,,"Q: Determine the plausibility of a sentence about sports.
""{sentence}""",0,other,16,100
32,False,rephrase,,"Q: Can you determine whether the following sentence relating to sports is plausible or not?
""{sentence}""
A:",1,Q&A,22,100
33,False,rephrase,,"Q: Determine the plausibility of the following sentence related to sports:
""{sentence}""
A:",0,Q&A,20,100
34,False,rephrase,,"Q: Given the following sentence, determine if it is sports-related or not.
""{sentence}""
A:",1,Q&A,21,100
35,False,rephrase,,"Q: Determine the plausibility of the following sentence relating to sports.
""{sentence}""
A: Is it a plausible sentence in the context of sports? (Yes/No)",1,Q&A,36,100
36,False,rephrase,,"Q: Determine the plausibility of an artificially constructed sentence about sports.
Sentence:
""{sentence}""",0,other,20,100
37,False,rephrase,,"Q: Can GPT-3 classify whether a sentence related to sports is plausible or not based on the given sentence?
""{sentence}""
A:",0,Q&A,29,100
38,False,rephrase,,"Q: Determine the plausibility of an artificially constructed sentence relating to sports.
""{sentence}""
A: Is the sentence about sports true or false?",0,Q&A,30,100
39,False,rephrase,,"Q: Determine if the following sentence is related to sports or not.
""{sentence}""
A: Is the given sentence related to sports? (Yes/No)",0,Q&A,32,100
40,False,rephrase,,"Q: Can GPT-3 determine the plausibility of a sports-related sentence that is artificially constructed?
""{sentence}""
A:",0,Q&A,27,100
41,False,rephrase,,"Determine the plausibility of a sentence related to sports.
""{sentence}"" Is this sentence plausible? Answer with a yes or no.",1,other,28,100
42,False,rephrase,,"Q: Determine whether the following sentence related to sports is plausible or not.
""{sentence}""
A: Answer with either ""Yes"" or ""No"".",1,Q&A,30,100
43,False,rephrase,,"Q: Can GPT-3 determine the plausibility of an artificially constructed sentence related to sports?
""{sentence}""
A:",0,Q&A,26,100
44,False,rephrase,,"Q: Can GPT-3 determine whether the following sentence about sports is plausible?
""{sentence}""
A:",0,Q&A,22,100
45,False,rephrase,,"Q: Can GPT-3 determine the plausibility of a sentence related to sports?
Sentence: ""{sentence}""",0,other,24,100
46,False,rephrase,,"Q: Can you determine if the following statement about sports is true?
""{sentence}""
A:",1,Q&A,19,100
47,False,rephrase,,"Q: Can you determine the plausibility of the following sentence related to sports?
""{sentence}""
A:",1,Q&A,22,100
48,False,rephrase,,"Can you determine the plausibility of the sentence related to sports?
""{sentence}""",1,other,17,100
49,False,rephrase,,"Q: Can you determine the plausibility of the following sentence about sports?
""{sentence}""
A:",1,Q&A,21,100
50,False,meta_cot,,"Evaluate whether the sentence ""{sentence}"" makes sense in the context of sports.",1,other,15,100
51,False,meta_cot,,"Determine if the sentence ""{sentence}"" is believable in a sports-related context.",1,other,16,100
52,False,meta_cot,,"Can we consider the sentence ""{sentence}"" to be plausible in a sports context?",1,other,16,100
