prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: This SVG path element {svg_path_element} draws a
Options:
{options}
A:",1,Q&A,21,100
2,False,rephrase,,"Name the geometric shape that is drawn by the {svg_path_element} SVG path element.
Options:
{options}",1,other,23,100
3,False,rephrase,,"Name the geometric shape that is drawn by the {svg_path_element} SVG path element:
Options:
{options}",1,other,23,100
4,False,rephrase,,"Name the geometric shape that is drawn by the SVG path element {svg_path_element}.
Options:
{options}",1,other,22,100
5,False,rephrase,,"Name the geometric shape represented by this SVG path element {svg_path_element}.
Options:
{options}",1,other,20,100
6,False,rephrase,,"Name the geometric shape represented by this SVG path element {svg_path_element}:
Options:
{options}",1,other,21,100
7,False,rephrase,,"Name the geometric shape that is drawn by this SVG path element {svg_path_element}.
Options:
{options}",1,other,22,100
8,False,rephrase,,"Name the geometric shape that is drawn by this SVG path element {svg_path_element}:
Options:
{options}",1,other,23,100
9,False,rephrase,,"Name the geometric shape that is drawn by this SVG path element {svg_path_element}.
Choose from the following options:
{options}",1,other,26,100
10,False,rephrase,,"Name the geometric shape represented by the SVG path element {svg_path_element}. Choose from the following options:
{options}",1,other,24,100
11,False,rephrase,,"Name the geometric shape represented by the following SVG path element: {svg_path_element}
Options:
{options}",1,SEP_VARS,22,100
12,False,rephrase,,"Name the geometric shape that is represented by the SVG path element {svg_path_element}:
Options:
{options}",1,other,23,100
13,False,rephrase,,"Name the geometric shape drawn by this SVG path element {svg_path_element}.
Options:
{options}",1,other,20,100
14,False,rephrase,,"Name the geometric shape that is drawn by {svg_path_element}.
Options:
{options}",1,other,18,100
15,False,rephrase,,"Name the geometric shape corresponding to this SVG path element {svg_path_element}.
Options:
{options}",1,other,20,100
16,False,rephrase,,"Name the geometric shape that is drawn by the given SVG path element {svg_path_element}.
Options:
{options}",1,other,23,100
17,False,rephrase,,"Name the geometric shape corresponding to the given SVG path: {svg_path_element}
Options:
{options}",1,SEP_VARS,21,100
18,False,rephrase,,"Name the geometric shape that is drawn using {svg_path_element}.
Options:
{options}",1,other,18,100
19,False,rephrase,,"Name the geometric shape that can be drawn using this SVG path element {svg_path_element}.
Choose from the following options:
{options}",1,other,27,100
20,False,rephrase,,"Name the geometric shape that can be drawn using {svg_path_element} SVG path. Choose from the following options:
{options}",1,other,26,100
21,False,rephrase,,"Name the geometric shape drawn by this SVG path element {svg_path_element}:
Options:
{options}",1,other,21,100
22,False,rephrase,,"Name the geometric shape represented by the {svg_path_element} SVG path.
Options:
{options}",1,other,20,100
23,False,rephrase,,"Name the geometric shape represented by this SVG path element: {svg_path_element}.
Options:
{options}
A:",1,SEP_VARS,23,100
24,False,rephrase,,"Name the geometric shape represented by the following SVG path element: {svg_path_element}.
Options: 
{options}",1,SEP_VARS,23,100
25,False,rephrase,,"Name the geometric shape that is drawn by the SVG path element {svg_path_element}:
Options:
{options}",1,other,23,100
26,False,rephrase,,"Name the geometric shape that this SVG path element {svg_path_element} draws:
Options: {options}",1,SEP_VARS,21,100
27,False,rephrase,,"Q: Identify the name of the geometric shape represented by this SVG path element: {svg_path_element}.
Options:
{options}
A:",1,Q&A,28,100
28,False,rephrase,,"Q: Identify the geometric shape represented by this SVG path element: {svg_path_element}
Options:
{options}
A:",1,Q&A,25,100
29,False,rephrase,,"Q: Identify the name of the geometric shape represented by the given SVG path element: {svg_path_element}
Options:
{options}
A:",1,Q&A,29,100
30,False,rephrase,,"Q: Identify the name of the geometric shape represented by the following SVG path element: {svg_path_element}
Options:
{options}
A:",1,Q&A,29,100
31,False,rephrase,,"Q: Identify the name of the geometric shape represented by this SVG path element {svg_path_element}.
Options:
{options}
A:",1,Q&A,27,100
32,False,rephrase,,"Q: Identify the name of the geometric shape represented by this {svg_path_element}.
Options:
{options}
A:",1,Q&A,24,100
33,False,rephrase,,"Q: Identify the name of the geometric shape represented by the following SVG path element: {svg_path_element}.
Options:
{options}
A:",1,Q&A,29,100
34,False,rephrase,,"Q: Identify the geometric shape described by this SVG path element: {svg_path_element}.
Options:
{options}
A:",1,Q&A,25,100
35,False,rephrase,,"Q: Identify the geometric shape represented by this SVG path: {svg_path_element}.
Options:
{options}
A:",1,Q&A,24,100
36,False,rephrase,,"Q: Identify the geometric shape {svg_path_element} shown in this SVG path element:
Options:
{options}
A:",1,Q&A,25,100
37,False,rephrase,,"Q: Name the geometric shape represented by this SVG path element: {svg_path_element}
Options:
{options}
A:",1,Q&A,25,100
38,False,rephrase,,"Q: Name the geometric shape corresponding to this SVG path element: {svg_path_element}.
Options:
{options}
A:",1,Q&A,25,100
39,False,rephrase,,"Q: Identify the geometric shape corresponding to the following SVG path element: {svg_path_element}
Options:
{options}
A:",1,Q&A,26,100
40,False,rephrase,,"Q: Identify the name of the geometric shape that is represented by the following SVG path element {svg_path_element}.
Options:
{options}
A:",1,Q&A,30,100
41,False,rephrase,,"Q: Identify the geometric shape represented by the following {svg_path_element}:
Options:
{options}
A:",1,Q&A,23,100
42,False,rephrase,,"Q: Identify the geometric shape drawn by the given SVG path element: {svg_path_element}
Options:
{options}
A:",1,Q&A,26,100
43,False,rephrase,,"Q: Identify the name of the geometric shape that this SVG path element {svg_path_element} represents:
Options:
{options}
A:",1,Q&A,28,100
44,False,rephrase,,"Q: Identify the name of {svg_path_element} from its SVG path.
Options:
{options}
A:",1,Q&A,23,100
45,False,rephrase,,"Q: Can you identify the name of this geometric shape based on its SVG path element, {svg_path_element}?
Options:
{options}
A:",1,Q&A,31,100
46,False,rephrase,,"Q: Identify the name of the geometric shape represented by this SVG path element {svg_path_element}
Options:
{options}
A:",1,Q&A,27,100
47,False,rephrase,,"Q: Please identify the geometric shape that corresponds to {svg_path_element} SVG path element.
Options:
{options}
A:",1,Q&A,26,100
48,False,rephrase,,"Q: Identify the name of the geometric shape that is drawn by the given {svg_path_element} SVG path element:
Options: {options}
A:",1,Q&A,31,100
49,False,rephrase,,"Q: Identify the geometric shape represented by this SVG path element: {svg_path_element}.
Options:
{options}
A:",1,Q&A,25,100
50,False,rephrase,,"Q: Identify the name of the geometric shape represented by the following {svg_path_element}.
Options:
{options}
A:",1,Q&A,25,100
51,False,rephrase,,"Q: Identify this geometric shape drawn using the SVG path element: {svg_path_element}
Options:
{options}
Answer:",1,SEP_VARS,25,100
52,False,meta_cot,,What is the name of the geometric shape represented by the SVG path element {svg_path_element}? Choose from the following options: {options}.,1,SEP_VARS,28,100
53,False,meta_cot,,Identify the geometric shape corresponding to the SVG path element {svg_path_element}. Which of the following options is the correct answer: {options}?,1,SEP_VARS,29,100
54,False,meta_cot,,"Given the SVG path element {svg_path_element}, select the name of the geometric shape it represents. Your options are: {options}.",1,SEP_VARS,27,100
55,False,meta_cot,,Which of the following geometric shapes is represented by the SVG path element {svg_path_element}? Choose the correct answer from the following options: {options}.,1,SEP_VARS,30,100
56,False,meta_cot,,What is the name of the geometric shape represented by this SVG path element {svg_path_element}? Choose from the following options: {options}.,1,SEP_VARS,28,100
57,False,meta_cot,,Identify the geometric shape that corresponds to the SVG path element {svg_path_element}. You can choose from the following options: {options}.,1,SEP_VARS,28,100
58,False,meta_cot,,Which geometric shape is represented by the SVG path element {svg_path_element}? Select one of the following options: {options}.,1,SEP_VARS,25,100
59,False,meta_cot,,The SVG path element {svg_path_element} corresponds to which geometric shape? Please select from the following options: {options}.,1,SEP_VARS,25,100
60,False,meta_cot,,Which of the following geometric shapes is represented by the SVG path element {svg_path_element}? The available options are: {options}.,1,SEP_VARS,26,100
61,False,meta_cot,,"From the following options, which one corresponds to the geometric shape represented by the SVG path element {svg_path_element}? Choose wisely: {options}.",1,SEP_VARS,29,100
62,False,meta_cot,,What is the name of the geometric shape represented by the SVG path element {svg_path_element}? Choose one of the following options: {options}.,1,SEP_VARS,29,100
63,False,meta_cot,,Identify the geometric shape that is drawn by the SVG path element {svg_path_element}. You can choose from the following options: {options}.,1,SEP_VARS,29,100
64,False,meta_cot,,Please select the correct name of the geometric shape that is represented by the SVG path element {svg_path_element}. The available options are: {options}.,1,SEP_VARS,30,100
65,False,meta_cot,,What is the name of the shape that is drawn by the SVG path element {svg_path_element}? Please choose one of the following options: {options}.,1,SEP_VARS,31,100
66,False,meta_cot,,"From the given options {options}, select the name of the geometric shape that is represented by the SVG path element {svg_path_element}.",1,other,27,100
67,False,meta_cot,,Which of the following geometric shapes is represented by the SVG path element {svg_path_element}? Please choose one of the options: {options}.,1,SEP_VARS,28,100
68,False,meta_cot,,Identify the shape represented by the SVG path element {svg_path_element}. You can choose from the following options: {options}.,1,SEP_VARS,26,100
69,False,meta_cot,,Which geometric shape is represented by the SVG path element {svg_path_element}? Select the correct option from the following: {options}.,1,SEP_VARS,26,100
70,False,meta_cot,,"Given the SVG path element {svg_path_element}, which of the following shapes is being drawn? Choose from the following options: {options}.",1,SEP_VARS,28,100
71,False,meta_cot,,Can you identify the geometric shape that is being drawn by the SVG path element {svg_path_element}? The options are: {options}.,1,SEP_VARS,27,100
72,False,meta_cot,,Identify the geometric shape represented by the SVG path element {svg_path_element}. You can choose from the following options: {options}.,1,SEP_VARS,27,100
73,False,meta_cot,,Your task is to determine the name of the geometric shape that corresponds to the SVG path element {svg_path_element}. You will be given a list of possible options: {options}.,1,SEP_VARS,36,100
74,False,meta_cot,,Name the geometric shape that is represented by the SVG path element {svg_path_element}. You will be provided with a set of {options} to choose from.,0,other,32,100
75,False,meta_cot,,Your goal is to identify the name of the geometric shape that corresponds to the SVG path element {svg_path_element}. You will have to choose from the following options: {options}.,1,SEP_VARS,36,100
76,False,meta_cot,,What is the name of the shape that is drawn by the SVG path element {svg_path_element}? Choose from the following options: {options}.,1,SEP_VARS,29,100
77,False,meta_cot,,Identify the geometric shape represented by the SVG path element {svg_path_element}. Choose one of the following options: {options}.,1,SEP_VARS,26,100
78,False,meta_cot,,Which geometric shape is described by the SVG path element {svg_path_element}? Please select one of the following options: {options}.,1,SEP_VARS,26,100
79,False,meta_cot,,"Given the SVG path element {svg_path_element}, which of the following geometric shapes does it represent? Choose one of the options below: {options}.",1,SEP_VARS,30,100
80,False,meta_cot,,What is the name of the shape represented by the SVG path element {svg_path_element}? Choose from the following options: {options}.,1,SEP_VARS,27,100
81,False,meta_cot,,Which of the following shapes is represented by the SVG path element {svg_path_element}? Options: {options}.,1,SEP_VARS,22,100
82,False,meta_cot,,Identify the shape represented by the SVG path element {svg_path_element}. Choose one of the following options: {options}.,1,SEP_VARS,25,100
83,False,meta_cot,,What is the name of the geometric shape represented by the SVG path element {svg_path_element}? Choose from the following {options}.,1,other,26,100
84,False,meta_cot,,Which shape corresponds to the SVG path element {svg_path_element}? Select one of the following {options}.,1,other,21,100
85,False,meta_cot,,Identify the geometric shape that is drawn by the SVG path element {svg_path_element}. Pick the correct shape from the list of {options}.,1,other,29,100
86,False,meta_cot,,What is the name of the geometric shape represented by the SVG path element {svg_path_element}? The available options are: {options}.,1,SEP_VARS,27,100
87,False,meta_cot,,Identify the geometric shape that corresponds to the SVG path element {svg_path_element}. Choose from the following options: {options}.,1,SEP_VARS,26,100
88,False,meta_cot,,Which geometric shape is represented by the SVG path element {svg_path_element}? Please select from the following options: {options}.,1,SEP_VARS,25,100
89,False,meta_cot,,Identify the name of the geometric shape represented by {svg_path_element} from the following options: {options}.,1,SEP_VARS,23,100
90,False,meta_cot,,What is the name of the shape that is drawn by {svg_path_element}? Choose from the following options: {options}.,1,SEP_VARS,25,100
91,False,meta_cot,,"From the given options {options}, select the name of the geometric shape that is represented by {svg_path_element}.",1,other,23,100
92,False,meta_cot,,The SVG path element {svg_path_element} corresponds to what geometric shape? Pick one from the options: {options}.,1,SEP_VARS,24,100
93,False,meta_cot,,Can you name the geometric shape that is represented by {svg_path_element}? You can choose from the following options: {options}.,1,SEP_VARS,26,100
94,False,meta_cot,,What is the name of the geometric shape represented by the SVG path element {svg_path_element}? Choose from the following options: {options},1,SEP_VARS,28,100
95,False,meta_cot,,Identify the geometric shape that corresponds to the SVG path element {svg_path_element}. Which of the following options is the correct answer? {options},1,other,30,100
96,False,meta_cot,,You are given an SVG path element {svg_path_element}. What is the name of the corresponding geometric shape? Please select the correct answer from the following options: {options},1,SEP_VARS,35,100
97,False,meta_cot,,"Given the SVG path element {svg_path_element}, identify the geometric shape that it represents. Choose the correct answer from the following options: {options}",1,SEP_VARS,30,100
98,False,meta_cot,,What is the name of the geometric shape that is drawn by the SVG path element {svg_path_element}? Please select the correct answer from the following options: {options},1,SEP_VARS,34,100
99,False,meta_cot,,Identify the geometric shape corresponding to the SVG path element {svg_path_element}. You can choose from the following: {options}.,1,SEP_VARS,26,100
100,False,meta_cot,,"Given the SVG path element {svg_path_element}, what is the name of the corresponding geometric shape? Select one of the following options: {options}.",1,SEP_VARS,30,100
101,False,meta_cot,,What is the name of the geometric shape represented by the given SVG path element {svg_path_element}? Choose the correct option from the following options: {options}.,1,SEP_VARS,32,100
102,False,meta_cot,,Identify the geometric shape that corresponds to the given SVG path element {svg_path_element} and select the appropriate option from the given choices: {options}.,1,SEP_VARS,31,100
103,False,meta_cot,,Which of the following geometric shapes is represented by the SVG path element {svg_path_element}? Choose the correct option from the following: {options}.,1,SEP_VARS,29,100
104,False,meta_cot,,"Given the SVG path element {svg_path_element}, what is the name of the corresponding geometric shape? Choose the appropriate option from the following choices: {options}.",1,SEP_VARS,32,100
105,False,meta_cot,,Name the geometric shape that is represented by the SVG path element {svg_path_element} and select the correct option from the given choices: {options}.,0,SEP_VARS,30,100
106,False,meta_cot,,What is the name of the geometric shape represented by the SVG path element {svg_path_element}? The options are: {options}.,1,SEP_VARS,26,100
107,False,meta_desc,,"
Given an SVG path, identify the name of the corresponding geometric shape from a list of multiple choice options.
SVG path: {svg_path_element}
Options:
{options}
Output:

",1,SEP_VARS,37,100
108,False,meta_desc,,"
Given an SVG path element, identify the geometric shape it draws. Choose the correct answer from the following options: {options}.
SVG path: {svg_path_element}
Output:

",1,SEP_VARS,36,100
109,False,meta_desc,,"
Given an SVG path element, select the shape it draws from the following options: {options}.
SVG path: {svg_path_element}
Output:

",1,SEP_VARS,30,100
110,False,meta_desc,,"
Given an SVG path, identify the name of the corresponding geometric shape from the following options in a multiple-choice format.
SVG path: {svg_path_element}
Options:
{options}
Output:

",1,SEP_VARS,39,100
111,False,meta_desc,,"
Given an SVG path, identify the name of the corresponding geometric shape. Choose the correct answer from the list of options provided in a multiple-choice format.
SVG path: {svg_path_element}
Options:
{options}
Output:

",1,SEP_VARS,46,100
112,False,meta_desc,,"
Given an SVG path element, identify the geometric shape it draws. Choose from the following options: {options}.
SVG path: {svg_path_element}
Output:

",1,SEP_VARS,33,100
113,False,meta_desc,,"
Please identify the geometric shape represented by the following SVG path element. Choose the correct shape from the options below.
SVG path: {svg_path_element}
Options: {options}
Output:

",1,SEP_VARS,38,100
114,False,meta_desc,,"
Given an SVG path, select the corresponding geometric shape from a list of options.
SVG path: {svg_path_element}
Options:
{options}
Output:

",1,SEP_VARS,32,100
