prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Write a word that doesn't contain the letter ""{letter}"":
",1,other,13,100
2,True,default,,"Write a word without using the letter ""{letter}"":
",1,other,11,100
3,True,default,,"Write a word not containing the letter ""{letter}"":
",1,other,11,100
4,False,rephrase,,"Can you come up with a term that excludes the letter ""{letter}""?",1,other,15,100
5,False,rephrase,,"Provide a term that does not include the character ""{letter}"":",1,other,13,100
6,False,rephrase,,"Provide a term that excludes the character ""{letter}"".",1,other,10,100
7,False,rephrase,,"Provide a term that excludes the letter ""{letter}"":",1,other,11,100
8,False,rephrase,,"Provide a term that excludes the character ""{letter}"":",1,other,11,100
9,False,rephrase,,"Can you provide a word that excludes the letter ""{letter}""?",1,other,13,100
10,False,rephrase,,"Can you come up with a term that does not have the ""{letter}"" character in it?",1,other,19,100
11,False,rephrase,,"Come up with a word that does not include the letter ""{letter}"".",1,other,14,100
12,False,rephrase,,"Create a word that does not contain the letter ""{letter}"".",1,other,12,100
13,False,rephrase,,"Create a term that does not contain the character ""{letter}"".",1,other,12,100
14,False,rephrase,,"Create a term that does not contain the character ""{letter}"":",1,other,13,100
15,False,rephrase,,"Create a term that excludes the usage of the letter ""{letter}"".",1,other,13,100
16,False,rephrase,,"Create a term that does not contain the letter ""{letter}"":",1,other,13,100
17,False,rephrase,,"Create a term that excludes the letter ""{letter}"".",1,other,10,100
18,False,rephrase,,"Create a term that does not include the character ""{letter}"".",1,other,12,100
19,False,rephrase,,"Compose a term that does not include the character ""{letter}"".",1,other,12,100
20,False,rephrase,,"Create a word that does not include the letter ""{letter}"".",1,other,12,100
21,False,rephrase,,"Compose a term that does not include the character ""{letter}"":",1,other,13,100
22,False,rephrase,,"Create a term that does not have the inclusion of the letter ""{letter}"".",1,other,15,100
23,False,rephrase,,"Create a term that does not include the character ""{letter}"":",1,other,13,100
24,False,rephrase,,"Create a word that does not include the letter ""{letter}"":",1,other,13,100
