prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Are all the words {words} types of {category}? Answer either ""yes"" or ""no"".
A:",1,Q&A,25,100
2,True,default,,"Q: Do the words {words} all represent {category}? Answer either ""yes"" or ""no"".
A:",1,Q&A,24,100
3,True,default,,"Q: Does the list [{words}] contain only {category}? Answer either ""yes"" or ""no"".
A:",1,Q&A,24,100
4,False,rephrase,,"Is {category} the category for all {words}? Respond with either ""yes"" or ""no"".",1,other,21,100
5,False,rephrase,,"Determine whether all the {words} belong to the {category}. Respond with either ""yes"" or ""no"".",1,other,24,100
6,False,rephrase,,"Can {category} be used to describe all {words}? Please respond with either ""yes"" or ""no"".",1,other,23,100
7,False,rephrase,,"Can {category} be used to classify all the {words} provided? Respond with either ""yes"" or ""no"".",1,other,25,100
8,False,rephrase,,"Is the category of all {words} the same? Respond with a ""yes"" or ""no"".",0,other,21,100
9,False,rephrase,,"Can {category} be used to describe all the {words}? Respond with a simple ""yes"" or ""no"".",1,other,24,100
10,False,rephrase,,"Can {category} be used to describe all the {words} provided? Please respond with a simple ""yes"" or ""no"".",1,other,27,100
11,False,rephrase,,"Can {category} be used to classify all the {words} provided? Respond with a simple ""yes"" or ""no"".",1,other,26,100
12,False,rephrase,,"Can all the {words} be categorized as {category}? Please respond with a ""yes"" or ""no"".",1,other,23,100
13,False,rephrase,,"Can all the {words} be categorized as {category}? Respond with a simple ""yes"" or ""no"".",1,other,23,100
14,False,rephrase,,"Here's a rephrased prompt: 

""Indicate whether all the {words} belong to the {category} by answering with a 'yes' or 'no'.""",0,other,37,100
15,False,rephrase,,Can all the {words} be categorized as {category}? Please respond with a simple 'yes' or 'no'.,1,other,24,100
16,False,rephrase,,"Please determine if all the {words} belong to the same {category} and respond with a ""yes"" or ""no"".",0,other,26,100
17,False,rephrase,,"Can all of the {words} be categorized as {category}? Please respond with a ""yes"" or ""no"".",1,other,24,100
18,False,rephrase,,"Is {category} represented by all of the words {words}? Please respond with a ""yes"" or ""no"".",0,other,24,100
19,False,rephrase,,"Can all of the {words} be categorized as {category}? Respond with a simple ""yes"" or ""no"".",1,other,24,100
20,False,rephrase,,"Can you confirm if the list [{words}] exclusively consists of {category}? Please respond with a ""yes"" or ""no"".",1,other,26,100
21,False,rephrase,,"Can you confirm if the list [{words}] exclusively consists of {category}? Please respond with either ""yes"" or ""no"".",1,other,26,100
22,False,rephrase,,"Can you confirm if the list [{words}] consists solely of {category}? Please respond with either ""yes"" or ""no"".",1,other,26,100
23,False,rephrase,,"Determine whether the list [{words}] exclusively comprises {category}. Respond with a ""yes"" or ""no"".",1,other,23,100
24,False,rephrase,,"Is {category} the only type of word present in the list [{words}]? Please respond with a ""yes"" or ""no"".",1,other,28,100
25,False,rephrase,,"Is {category} the only type of word present in the list [{words}]? Please respond with either ""yes"" or ""no"".",1,other,28,100
26,False,rephrase,,"Is {category} the only category present in the list [{words}]? Please respond with a ""yes"" or ""no"".",1,other,26,100
27,False,rephrase,,"Is {category} the only type of word present in the list [{words}]? Please respond with a simple ""yes"" or ""no"".",1,other,29,100
28,False,rephrase,,Please indicate whether all the {words} belong to the {category} by responding with either 'yes' or 'no'.,1,other,25,100
29,False,rephrase,,Please determine whether the given words belong to the specified category. Respond with a simple 'yes' or 'no'.,0,other,23,100
30,False,rephrase,,Please confirm if all the words provided belong to the specified category by responding with either 'yes' or 'no'.,0,other,23,100
31,False,rephrase,,Please indicate whether all the words provided belong to the specified category by answering with a simple 'yes' or 'no'.,0,other,24,100
32,False,rephrase,,Please confirm whether all the words provided belong to the specified category by answering with a simple 'yes' or 'no'.,0,other,24,100
33,False,rephrase,,"Please indicate whether all of the {words} belong to the {category} by responding with a ""yes"" or ""no"".",1,other,26,100
34,False,rephrase,,Please indicate whether all the {words} belong to the {category} by answering with a simple 'yes' or 'no'.,1,other,26,100
35,False,rephrase,,"Please determine if the given {words} belong to the {category} category. Respond with a simple ""yes"" or ""no"".",1,other,27,100
