prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph.
{paragraph}
Options:
{options}
A:",1,Q&A,37,100
2,False,rephrase,,"Q: Using logical deduction, determine the order of the following seven objects based on the information provided in the following paragraph:
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,41,100
3,False,rephrase,,"Q: Using logical deduction, determine the order of the seven objects described in the following paragraph:
{paragraph}
Choose the option that correctly represents the order of the objects:
{options}
A:",1,Q&A,39,100
4,False,rephrase,,"Q: Using logical deduction, determine the order of the seven objects described in the following paragraph:
{paragraph}

Choose the correct sequence from the following options:
{options}

A:",1,Q&A,36,100
5,False,rephrase,,"Q: Using logical deduction, determine the order of the following seven objects based on the information provided in the given {paragraph}. Which of the following options {options} correctly represents the order of the objects?",1,other,41,100
6,False,rephrase,,"Q: Using logical deduction, determine the correct order of the seven objects in the following sequence:
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,36,100
7,False,rephrase,,"Q: Using logical deduction, what is the fixed order of the seven objects described in the following {paragraph}?
Options:
{options}
A:",1,Q&A,30,100
8,False,rephrase,,"Q: Using logical deduction, determine the order of the seven objects described in the following paragraph:
{paragraph}
Choose the option that correctly identifies the order of the objects:
{options}
A:",1,Q&A,39,100
9,False,rephrase,,"Q: Using logical deduction, determine the order of the seven objects described in the following {paragraph}. The statements are logically consistent within each paragraph.
Options:
{options}
A:",1,Q&A,36,100
10,False,rephrase,,"Q: Using logical deduction, determine the order of the following seven objects based on the given paragraph:
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,37,100
11,False,rephrase,,"Q: Using logical deduction, determine the order of the following seven objects based on the given statements:
{paragraph}
Select the correct order from the following options:
{options}
A:",1,Q&A,37,100
12,False,rephrase,,"Q: Using logical deduction, determine the order of the following seven objects based on the information provided in the paragraph below:
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,41,100
13,False,rephrase,,"Q: Use logical deduction to determine the order of the seven objects in the following {paragraph}. Which of the following {options} represents the correct order?
A:",1,Q&A,33,100
14,False,rephrase,,"Q: Using logical deduction, can you determine the order of the following seven objects based on the information provided in the {paragraph}? 
Options:
{options}
A:",1,Q&A,34,100
15,False,rephrase,,"Q: Using logical deduction, determine the order of the following seven objects based on the information provided in the following paragraph:
{paragraph}
Choose the correct sequence from the following options:
{options}
A:",1,Q&A,41,100
16,False,rephrase,,"Q: Using logical deduction, determine the order of the following seven objects based on the information provided in the following paragraph.
{paragraph}
Which of the following options represents the correct order of the objects?
{options}
A:",1,Q&A,45,100
17,False,rephrase,,"Q: Using logical deduction, what is the fixed order of the seven objects described in the following {paragraph}? The statements in the paragraph are logically consistent with each other.
 
Options:
{options}
A:",1,Q&A,42,100
18,False,rephrase,,"Q: Within {paragraph}, what is the correct order of the seven objects described below?
Options:
{options}
A:",1,Q&A,25,100
19,False,rephrase,,"Q: Using logical deduction, can you determine the order of the following set of seven objects?
{paragraph}
Please select the correct order from the following options:
{options}
A:",1,Q&A,37,100
20,False,rephrase,,"Q: Using logical deduction, determine the correct order of the following seven objects:
{paragraph}
Choose the correct arrangement from the options below:
{options}
A:",1,Q&A,33,100
21,False,rephrase,,"Q: Using logical deduction, determine the order of the seven objects in the following set.
{paragraph}
Options:
{options}
A:",1,Q&A,28,100
22,False,rephrase,,"Q: Using logical deduction, determine the order of the seven objects described in the following paragraph:
{paragraph}

Choose the correct order from the following options:
{options}

A:",1,Q&A,36,100
23,False,rephrase,,"Q: Using logical deduction, determine the order of the following seven objects based on the information provided in the following paragraph:
{paragraph}

Choose the correct order from the following options:
{options}

A:",1,Q&A,41,100
24,False,rephrase,,"Q: Using logical deduction, determine the order of the seven objects described in the following paragraph:
{paragraph}
Choose the most logically consistent sequence from the following options:
{options}
A:",1,Q&A,38,100
25,False,rephrase,,"Q: Using logical deduction, determine the order of seven objects described in the following {paragraph}. Which of the following sequences of objects is the correct order?
{options}
A:",1,Q&A,36,100
26,False,rephrase,,"Q: Using logical deduction, determine the order of the following seven objects based on the information provided in the following {paragraph}. Which of the following {options} correctly represents the order of the objects?
A:",1,Q&A,42,100
27,False,rephrase,,"Q: Using logical deduction, determine the order of a sequence of seven objects based on the information provided in the following paragraph. The statements within the paragraph are logically consistent.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,51,100
28,False,rephrase,,"Q: Use logical deduction to determine the correct order of the seven objects described in the following {paragraph}. Each statement is logically consistent with the others.
{paragraph}
Choose the correct order from the following {options}.",0,other,43,100
29,False,rephrase,,"Q: Use logical deduction to determine the order of seven objects in the following paragraph. The statements are logically consistent within the paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,43,100
30,False,rephrase,,"Q: Using logical deduction, determine the correct order of the seven objects described in the following {paragraph}. Each statement in the paragraph is logically consistent with the others.
{paragraph}
Choose the correct order from the following {options}.",0,other,46,100
31,False,rephrase,,"Q: Use logical deduction to determine the correct order of the seven objects in the following set. The statements provided are logically consistent within the set.
{paragraph}
Which of the following options correctly orders the objects?
{options}
A:",1,Q&A,47,100
32,False,rephrase,,"Q: Use logical deduction to determine the order of seven objects described in the following paragraph. The statements are logically consistent within the paragraph.
{paragraph}
Choose the correct sequence from the following options:
{options}
A:",1,Q&A,44,100
33,False,rephrase,,"Q: Use logical deduction to determine the order of the following seven objects based on the information provided in the {paragraph}. Which of the following options correctly represents the order of the objects?
{options}",1,other,40,100
34,False,rephrase,,"Q: Use logical deduction to determine the correct order of the seven objects in the following sequence. Each statement is logically consistent within the paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,45,100
35,False,rephrase,,"Q: Use logical deduction to determine the order of seven objects described in the following paragraph. The statements are logically consistent within the paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,44,100
36,False,rephrase,,"Q: Using logical deduction, determine the correct order of the seven objects in the following set. The statements are logically consistent within each paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,45,100
37,False,rephrase,,"Q: Given a set of seven objects arranged in a fixed order, use logical deduction to determine the correct sequence. Each paragraph contains statements that are logically consistent within it.
{paragraph}
Choose the option that correctly orders the objects.
{options}
A:",1,Q&A,51,100
38,False,rephrase,,"Q: Use logical deduction to determine the order of seven objects described in the following {paragraph}. The statements are logically consistent within the paragraph.
{paragraph}
Choose the correct order of the objects from the following {options}.
{options}
A:",0,Q&A,49,100
39,False,rephrase,,"Q: Use logical deduction to determine the order of the seven objects in the following sequence. Each statement is logically consistent within the paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,44,100
40,False,rephrase,,Q: Use logical deduction to determine the order of seven objects in a sequence. Below is a {paragraph} describing the arrangement of the objects. Which of the following {options} is the correct order of the objects?,0,other,44,100
41,False,rephrase,,"Q: Use your logical deduction skills to determine the order of the seven objects described in the following {paragraph}. Each statement is consistent with the others in the paragraph.
{paragraph}
Choose the correct order from the following {options}.",0,other,46,100
42,False,rephrase,,"Q: Use logical deduction to determine the order of the following seven objects. Each paragraph contains statements that are logically consistent within that paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,44,100
43,False,rephrase,,"Q: Use logical deduction to determine the fixed order of seven objects described in the following {paragraph}. The statements are logically consistent within the paragraph.
{paragraph}
Choose the correct order of objects from the following {options}.
{options}
A:",1,Q&A,49,100
44,False,rephrase,,"Q: Using logical deduction, determine the correct order of seven objects described in the following paragraph. The statements are logically consistent within the paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,45,100
45,False,rephrase,,"Q: Deduce the order of seven objects by choosing the logically consistent paragraph from the following options:
{options}
{paragraph}",0,other,26,100
46,False,rephrase,,"Q: Use your logical deduction skills to determine the order of the seven objects in the following {paragraph}. The statements are logically consistent within the paragraph.
{paragraph}
Choose the correct order of the objects from the following {options}.
A:",0,Q&A,48,100
47,False,rephrase,,"Q: Using logical deduction, determine the order of seven objects based on the following paragraph. The statements are logically consistent within the paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,44,100
48,False,rephrase,,"Q: Using logical deduction, determine the order of the seven objects described in the following paragraph:
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,36,100
49,False,rephrase,,"Q: Using logical deduction, determine the correct order of the seven objects described in the following {paragraph}. Which of the following {options} correctly represents the order of the objects?
A:",1,Q&A,38,100
50,False,rephrase,,"Q: Use logical deduction to determine the correct order of the seven objects described in the following {paragraph}. Each statement in the paragraph is logically consistent with the others.
{paragraph}
Choose the correct order from the following {options}.",0,other,46,100
51,False,rephrase,,"Q: Given a set of seven objects arranged in a fixed order, use logical deduction to determine the correct sequence. The following {paragraph} describes the objects and their order. Choose the option that best fits the sequence from the {options}.
A:",0,Q&A,50,100
52,False,meta_cot,,You will be given a question that describes a set of seven objects arranged in a fixed order. You will also be provided with a set of options. Your goal is to select the correct option based on the information provided in the question. The placeholders in the question are {paragraph} and {options}.,0,other,60,100
53,False,meta_cot,,"Your task is to solve a logical deduction task which requires deducing the order of a sequence of objects. You will be presented with a question that describes a set of seven objects arranged in a fixed order, and a set of options. Your objective is to select the correct option based on the information provided in the question. The placeholders in the question are {paragraph} and {options}.",0,other,77,100
54,False,meta_cot,,"In this task, you will be presented with a question that describes a set of seven objects arranged in a fixed order, and a set of options. Your objective is to select the correct option based on the information provided in the question. The placeholders in the question are {paragraph} and {options}.",0,other,60,100
55,False,meta_cot,,"Your goal is to solve a logical deduction task which requires deducing the order of a sequence of objects. You will be given a question that describes a set of seven objects arranged in a fixed order, and a set of options. Your task is to select the correct option based on the information provided in the question. The placeholders in the question are {paragraph} and {options}.",0,other,76,100
56,False,meta_cot,,"You will be presented with a set of paragraphs, each of which describes a set of seven objects arranged in a fixed order. The statements in each paragraph are logically consistent. Your task is to deduce the order of the objects based on the information provided in the paragraph. You will also be given a set of options to choose from. The options are represented by {options}. Choose the correct option based on the information provided in the paragraph, which is represented by {paragraph}.",1,other,95,100
57,False,meta_cot,,"Your task is to solve a logical deduction task. The task consists of a set of paragraphs, each of which describes a set of seven objects arranged in a fixed order. The statements in each paragraph are logically consistent. Your goal is to deduce the order of the objects based on the information provided in the paragraph. You will also be given a set of options to choose from. The options are represented by {options}. Choose the correct option based on the information provided in the paragraph, which is represented by {paragraph}.",1,other,104,100
