prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph.
{paragraph}
Options:
{options}
A:",1,Q&A,37,100
2,False,rephrase,,Deduce the order of a sequence of three objects based on the logically consistent statements in the given {paragraph}. Choose the correct arrangement from the following {options}.,1,other,33,100
3,False,rephrase,,Deduce the order of a sequence of three objects based on the logically consistent statements provided in {paragraph}. Choose the correct arrangement from the following options: {options}.,1,SEP_VARS,34,100
4,False,rephrase,,Deduce the order of a sequence of three objects based on the logically consistent statements provided in the following {paragraph}. Choose the correct order from the {options}.,1,other,33,100
5,False,rephrase,,"Deduce the order of a sequence of three objects based on the following logically consistent paragraph:
{paragraph}
Choose the correct arrangement from the following options:
{options}",1,other,34,100
6,False,rephrase,,"Deduce the order of a sequence of three objects described in the following paragraph. The statements in the paragraph are logically consistent.
{paragraph}

Choose the correct order of the objects from the following options:
{options}",1,other,44,100
7,False,rephrase,,"Deduce the order of three objects from the given logical statements.
Q: The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,58,100
8,False,rephrase,,"Q: Using logical deduction, determine the order of the following three objects based on the information provided in the paragraph below.
{paragraph}
Choose the correct sequence from the following options:
{options}
A:",1,Q&A,41,100
9,False,rephrase,,Deduce the order of a sequence of three objects based on the logically consistent statements provided in the following {paragraph}. Choose the correct order from the given {options}.,1,other,34,100
10,False,rephrase,,Deduce the order of a sequence of three objects based on the logically consistent statements provided in {paragraph}. Choose the correct order from the following options: {options}.,1,SEP_VARS,34,100
11,False,rephrase,,Deduce the order of a sequence of three objects based on the logically consistent statements provided in the following {paragraph}. Choose the correct order from the following {options}.,1,other,34,100
12,False,rephrase,,"Deduce the order of three objects from the given paragraphs. Each paragraph describes a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. 

Q: {paragraph}
Options:
{options}
A:",1,Q&A,49,100
13,False,rephrase,,Can you deduce the order of the three objects described in the following {paragraph}? Choose the correct arrangement from the following {options}.,1,other,27,100
