prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Which word has more letters, ""{word1}"" or ""{word2}""?
A:",1,Q&A,20,100
2,True,default,,"Q: Which word is longer, ""{word1}"" or ""{word2}""?
A:",1,Q&A,19,100
3,True,default,,"Q: Of the words ""{word1}"" and ""{word2}"" which one has more letters?
A:",1,Q&A,22,100
4,False,rephrase,,"Compare the number of letters in ""{word1}"" and ""{word2}"" and determine which one has more.",1,other,22,100
5,False,rephrase,,"Can you determine which of the two words, ""{word1}"" or ""{word2}"", has a greater number of letters?",1,other,25,100
6,False,rephrase,,Compare the number of letters in '{word1}' and '{word2}' and determine which one has more letters.,1,other,23,100
7,False,rephrase,,"Which of the two words, ""{word1}"" or ""{word2}"", has a greater number of letters?",1,other,22,100
8,False,rephrase,,Compare the number of letters in the words '{word1}' and '{word2}' and determine which one has more letters.,1,other,25,100
9,False,rephrase,,"Compare the number of letters in ""{word1}"" and ""{word2}"" and state which one has more.",1,other,22,100
10,False,rephrase,,"Compare the number of letters in the words ""{word1}"" and ""{word2}"" and determine which one has more.",1,other,24,100
11,False,rephrase,,"Compare the number of letters in ""{word1}"" and ""{word2}"" and determine which one has more letters.",1,other,23,100
12,False,rephrase,,"Which of the two words, ""{word1}"" or ""{word2}"", is longer?",1,other,18,100
13,False,rephrase,,Compare the length of the words '{word1}' and '{word2}'. Which one is longer?,1,other,20,100
14,False,rephrase,,Compare the length of '{word1}' and '{word2}' and determine which one is longer.,1,other,20,100
15,False,rephrase,,"Can you compare the length of ""{word1}"" and ""{word2}"" and tell me which one is longer?",1,other,23,100
16,False,rephrase,,"What is the length comparison between ""{word1}"" and ""{word2}""?",0,other,16,100
17,False,rephrase,,"How do the lengths of the words ""{word1}"" and ""{word2}"" compare?",0,other,18,100
18,False,rephrase,,Compare the length of '{word1}' and '{word2}' and identify which one is longer.,1,other,20,100
19,False,rephrase,,"Can you determine which word between ""{word1}"" and ""{word2}"" is longer?",1,other,18,100
20,False,rephrase,,"Which word between ""{word1}"" and ""{word2}"" has a greater number of letters?",1,other,19,100
21,False,rephrase,,"Which word has a greater number of letters, ""{word1}"" or ""{word2}""?",1,other,19,100
22,False,rephrase,,"Which word has a greater number of letters between ""{word1}"" and ""{word2}""?",1,other,19,100
23,False,rephrase,,"Which word has more letters, ""{word1}"" or ""{word2}""?",1,other,16,100
24,False,rephrase,,"Which one of the two words, ""{word1}"" and ""{word2}"", has a greater number of letters?",1,other,23,100
25,False,rephrase,,"Which word has more letters between ""{word1}"" and ""{word2}""?",1,other,16,100
26,False,rephrase,,"Which word between ""{word1}"" and ""{word2}"" contains more letters?",1,other,16,100
27,False,rephrase,,"Q: Which word out of ""{word1}"" and ""{word2}"" has a greater number of letters? 
A:",1,Q&A,25,100
28,False,rephrase,,"Please compare the length of the words ""{word1}"" and ""{word2}"" and indicate which one has more letters.",1,other,24,100
29,False,rephrase,,"""Compare the number of letters in ""{word1}"" and ""{word2}"".",0,other,16,100
30,False,rephrase,,Compare the length of the words '{word1}' and '{word2}'. Which one has more letters?,1,other,21,100
31,False,rephrase,,Compare the length of the words '{word1}' and '{word2}' and determine which one has more letters.,1,other,23,100
32,False,rephrase,,"Compare the length of ""{word1}"" and ""{word2}"" and determine which one has more letters.",1,other,21,100
33,False,rephrase,,"Compare the number of letters in the words ""{word1}"" and ""{word2}"" and provide the word with more letters.",1,other,25,100
34,False,rephrase,,"Please compare the length of the words ""{word1}"" and ""{word2}"" and provide the name of the word with more letters.",1,other,27,100
35,False,rephrase,,"Can you compare the length of the words ""{word1}"" and ""{word2}"" and tell me which one has more letters?",1,other,26,100
36,False,rephrase,,"Compare the length of ""{word1}"" and ""{word2}"" and determine which one is longer.",1,other,20,100
37,False,rephrase,,"Please compare the length of ""{word1}"" and ""{word2}"" and indicate which one is longer.",1,other,21,100
38,False,rephrase,,"Please compare the length of ""{word1}"" and ""{word2}"" and provide the longer word.",1,other,20,100
39,False,rephrase,,"Compare the length of ""{word1}"" and ""{word2}"". Which one is longer?",1,other,18,100
40,False,rephrase,,"Please determine which of the two words, ""{word1}"" or ""{word2}"", has a greater number of characters.",1,other,24,100
41,False,rephrase,,"Which of the following words is longer: ""{word1}"" or ""{word2}""?",1,other,18,100
42,False,rephrase,,"Compare the length of the words ""{word1}"" and ""{word2}"" and provide the longer one.",1,other,21,100
43,False,rephrase,,Please compare the lengths of the words '{word1}' and '{word2}' and indicate which one is longer.,1,other,23,100
44,False,rephrase,,"Please determine which of the two words, ""{word1}"" or ""{word2}"", has a greater number of letters.",1,other,24,100
45,False,rephrase,,"Which word has a greater number of letters: ""{word1}"" or ""{word2}""?",1,other,19,100
46,False,rephrase,,"Which of the two words, ""{word1}"" and ""{word2}"", has a greater number of letters?",1,other,22,100
47,False,rephrase,,"Which word between ""{word1}"" and ""{word2}"" contains a greater number of letters?",1,other,19,100
48,False,rephrase,,"Which of the two given words, ""{word1}"" and ""{word2}"", has a greater number of letters?",1,other,23,100
49,False,meta_cot,,"Which of the two words, '{word1}' and '{word2}', has more letters?",1,other,19,100
50,False,meta_cot,,"Determine which of the two words, '{word1}' and '{word2}', has a greater number of letters.",1,other,24,100
51,False,meta_cot,,Compare the length of '{word1}' and '{word2}' and determine which one has more letters.,1,other,21,100
52,False,meta_cot,,"Which word has a greater number of letters, '{word1}' or '{word2}'?",1,other,19,100
53,False,meta_cot,,"Determine which word has a longer length, '{word1}' or '{word2}'.",1,other,18,100
54,False,meta_cot,,"Which of the two words, ""{word1}"" and ""{word2}"", has more letters?",1,other,19,100
55,False,meta_cot,,"Compare the length of ""{word1}"" and ""{word2}"" and tell me which one is longer.",1,other,21,100
56,False,meta_cot,,"Which word has a greater number of letters, ""{word1}"" or ""{word2}""?",1,other,19,100
57,False,meta_cot,,"Tell me which word is longer, ""{word1}"" or ""{word2}"".",1,other,16,100
58,False,meta_cot,,"Which word has more letters, ""{word1}"" or ""{word2}""?",1,other,16,100
59,False,meta_cot,,"Of the two words ""{word1}"" and ""{word2}"", which one has more letters?",1,other,19,100
60,False,meta_cot,,Compare the length of '{word1}' and '{word2}'. Which one has more letters?,1,other,19,100
61,False,meta_cot,,"Determine which word, '{word1}' or '{word2}', has a greater number of letters.",1,other,21,100
62,False,meta_cot,,Are there more letters in '{word1}' or '{word2}'?,1,other,15,100
63,False,meta_cot,,"Which word has a longer length, '{word1}' or '{word2}'?",1,other,17,100
64,False,meta_cot,,"Out of '{word1}' and '{word2}', which one has a greater number of letters?",1,other,20,100
65,False,meta_cot,,"Which word has a higher letter count, '{word1}' or '{word2}'?",1,other,18,100
66,False,meta_cot,,"Which of the two words, {word1} and {word2}, has more letters?",1,other,19,100
67,False,meta_cot,,"Determine which word, {word1} or {word2}, has a greater number of letters.",1,other,21,100
68,False,meta_cot,,Compare the length of {word1} and {word2} and state which one is longer.,1,other,20,100
69,False,meta_cot,,"Out of {word1} and {word2}, which one has a larger number of letters?",1,other,20,100
70,False,meta_cot,,Identify the word with more letters between {word1} and {word2}.,1,other,17,100
71,False,meta_cot,,"Which of the two words ""{word1}"" and ""{word2}"" has more letters?",1,other,18,100
72,False,meta_cot,,"Comparing ""{word1}"" and ""{word2}"", which one has more letters?",1,other,17,100
73,False,meta_cot,,"Determine which word has more letters between ""{word1}"" and ""{word2}"".",1,other,17,100
74,False,meta_cot,,"Which of these two words has more letters: ""{word1}"" or ""{word2}""?",1,other,19,100
75,False,meta_cot,,"Determine which word is longer: ""{word1}"" or ""{word2}"".",1,other,16,100
76,False,meta_cot,,"Compare the length of the words ""{word1}"" and ""{word2}"".",0,other,15,100
77,False,meta_cot,,"Out of the words ""{word1}"" and ""{word2}"", which one has a longer length?",1,other,20,100
78,False,meta_cot,,"Which word is longer, ""{word1}"" or ""{word2}""?",1,other,15,100
79,False,meta_cot,,"Of the words ""{word1}"" and ""{word2}"", which one has more letters?",1,other,18,100
80,False,meta_cot,,Compare the length of {word1} and {word2}.,0,other,13,100
81,False,meta_cot,,Which of {word1} and {word2} is longer?,1,other,14,100
82,False,meta_cot,,"Determine which word is longer, {word1} or {word2}.",1,other,16,100
83,False,meta_cot,,"Identify which word has more letters, {word1} or {word2}.",1,other,17,100
84,False,meta_cot,,"Please identify which word has more letters, {word1} or {word2}.",1,other,17,100
85,False,meta_cot,,"Which of these two words, {word1} and {word2}, has more letters?",1,other,19,100
86,False,meta_cot,,Compare the length of {word1} and {word2}. Which one has more letters?,1,other,19,100
87,False,meta_cot,,"Which of the two words, {word1} and {word2}, has a greater number of letters?",1,other,22,100
88,False,meta_cot,,Identify which word has a larger number of letters: {word1} or {word2}.,1,SEP_VARS,20,100
89,False,meta_cot,,Which word between {word1} and {word2} has more characters?,1,other,16,100
90,False,meta_cot,,Compare the number of characters between {word1} and {word2}. Which one is greater?,1,other,20,100
91,False,meta_cot,,Determine which word has more letters between {word1} and {word2}.,1,other,17,100
92,False,meta_cot,,"Which word contains the most letters, {word1} or {word2}?",1,other,16,100
93,False,meta_cot,,"Of {word1} and {word2}, which contains more letters?",1,other,15,100
94,False,meta_cot,,"Tell me, which has more letters, {word1} or {word2}?",1,other,17,100
