prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: The following translations from German to English contain a particular error. That error will be one of the following types: Named Entities: An entity (names, places, locations, etc.) is changed to a different entity. Numerical Values: Numerical values (ordinals or cardinals), dates, and/or units are changed. Modifiers or Adjectives: The modifiers and adjectives pertaining to a noun are changed. Negation or Antonyms: Introduce or remove a negation or change comparatives to their antonyms. Facts: Trivial factual errors not pertaining to the above classes are introduced in the translations. Dropped Content: A significant clause in the translation is removed. Please identify that error.
Source: {source}
Translation: {translation}
The translation contains an error pertaining to
Options:
{options}
A:",1,Q&A,168,100
2,False,rephrase,,"Q: Identify the type of error in the following German to English translation. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
What type of error does the translation contain?
Options:
{options}
A:",1,Q&A,77,100
3,False,rephrase,,"Q: Identify the type of error in the following English translation of a German source sentence. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
The error in the translation is related to:
Options:
{options}
A:",1,Q&A,80,100
4,False,rephrase,,"Q: Identify the type of error in the given English translation of a German source sentence. The error will fall under one of the following categories: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source sentence: {source}
Translation: {translation}
What type of error is present in the translation?
Choose from the following options:
{options}",1,SEP_VARS,85,100
5,False,rephrase,,"Q: Identify the type of error in the following English translation of a German source sentence. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
The error in the translation is related to:
Options:
{options}
Please choose the correct option.",1,SEP_VARS,84,100
6,False,rephrase,,"Q: Identify the type of error in the given English translation of a German source sentence. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source sentence: {source}
Translation: {translation}
What type of error is present in the translation?
Options:
{options}
A:",1,Q&A,82,100
7,False,rephrase,,"Q: Identify the type of error in the given English translation of a German source sentence. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
German Source Sentence: {source}
English Translation: {translation}
The error in the translation is related to:
Options:
{options}
A:",1,Q&A,83,100
8,False,rephrase,,"Q: Identify the type of error in the following English translation of a German source sentence. The error can be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
What type of error is present in the translation?
Options:
{options}
A:",1,Q&A,81,100
9,False,rephrase,,"Q: Identify the type of error in the following English translation of a German source sentence. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
What type of error is present in the translation?
Options:
{options}
A:",1,Q&A,81,100
10,False,rephrase,,"Q: Identify the type of error in the given translation from German to English. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
What type of error does the translation contain?
Options:
{options}
A:",1,Q&A,78,100
11,False,rephrase,,"Q: Identify the type of error in the English translation of the given German source sentence. The error can be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source sentence: {source}
English translation: {translation}
What type of error does the English translation contain?
Options:
{options}
Answer:",1,SEP_VARS,83,100
12,False,rephrase,,"Q: Identify the type of error in the following English translation of a German source sentence. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
What type of error does the translation contain?
Options:
{options}
A:",1,Q&A,80,100
13,False,rephrase,,"Q: Identify the type of error in the following English translation of a German source sentence. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, Dropped Content.
Source: {source}
Translation: {translation}
What type of error is present in the translation?
Options:
{options}
A:",1,Q&A,80,100
14,False,rephrase,,"Q: Identify the type of error in the given English translation of a German source sentence. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
The error in the translation is related to:
Options:
{options}
A:",1,Q&A,80,100
15,False,rephrase,,"Q: Identify the type of error in the following translation from German to English:
Source: {source}
Translation: {translation}
The error falls under which of the following categories?
Options:
{options}
A:",1,Q&A,43,100
16,False,rephrase,,"Q: Identify the type of error in the given English translation of a German source sentence. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source sentence: {source}
Translation: {translation}
What type of error does the translation contain?
Options:
{options}
A:",1,Q&A,81,100
17,False,rephrase,,"Q: Identify the type of error in the given English translation of a German source sentence. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
What type of error does the translation contain?
Options:
{options}
A:",1,Q&A,80,100
18,False,rephrase,,"Q: Identify the type of error in the following translation from German to English. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content. 
Source: {source}
Translation: {translation}
What type of error is present in the translation?
Options:
{options}
A:",1,Q&A,80,100
19,False,rephrase,,"Q: Identify the type of error in the given English translation of a German sentence. The error can be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
What type of error does the translation contain?
Options:
{options}
A:",1,Q&A,79,100
20,False,rephrase,,"Q: Identify the type of error in the following English translation of a German source sentence. The error will fall under one of the following categories: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
What type of error does the translation contain?
Options:
{options}
A:",1,Q&A,81,100
21,False,rephrase,,"Q: Identify the type of error in the following translation from German to English.
Source: {source}
Translation: {translation}
The error is related to:
Options:
{options}
A:",1,Q&A,39,100
22,False,rephrase,,"Q: Identify the type of error in the English translation of the German source sentence given below. The error will be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
What type of error does the translation contain?
Choose from the following options:
{options}
A:",1,Q&A,85,100
23,False,rephrase,,"Q: Identify the type of error in the following English translation of a German source sentence which can be one of the following types: Named Entities, Numerical Values, Modifiers or Adjectives, Negation or Antonyms, Facts, or Dropped Content.
Source: {source}
Translation: {translation}
The error in the translation is related to:
Options:
{options}
Please select the correct option.",1,SEP_VARS,82,100
