prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph.
{paragraph}
Options:
{options}
A:",1,Q&A,37,100
2,False,rephrase,,"Q: Using logical deduction, determine the correct order of the following five objects based on the information provided in the following paragraph:
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,42,100
3,False,rephrase,,"Q: Use logical deduction to determine the order of the following five objects based on the information provided in the {paragraph}. Which of the following options correctly represents the order of the objects?
{options}
A:",1,Q&A,42,100
4,False,rephrase,,"Q: Using logical deduction, determine the order of the following five objects based on the information provided in the paragraph below.
{paragraph}
Choose the correct sequence from the following options:
{options}
A:",1,Q&A,41,100
5,False,rephrase,,"Q: Using logical deduction, determine the order of the following five objects based on the information provided in the paragraph below.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,41,100
6,False,rephrase,,"Q: You are given a set of five objects arranged in a fixed order. Your task is to deduce the correct order of the objects based on the following logically consistent statements:
{paragraph}
Which of the following options represents the correct order of the objects?
{options}
A:",1,Q&A,57,100
7,False,rephrase,,"Q: Using logical deduction, determine the order of the following five objects based on the information provided in the paragraph below:
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,41,100
8,False,rephrase,,"Q: Using logical deduction, determine the order of the following five objects based on the information provided in the {paragraph}. Which of the following options correctly orders the objects?
{options}
A:",1,Q&A,39,100
9,False,rephrase,,"Q: Can you determine the order of five objects based on the following logically consistent paragraph?
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,35,100
10,False,rephrase,,"Q: Using logical deduction, determine the order of the five objects described in the following paragraph:
{paragraph}
Choose the option that correctly lists the order of the objects.
{options}
A:",1,Q&A,39,100
11,False,rephrase,,"Q: Using logical deduction, determine the correct order of the following five objects based on the information provided in the paragraph below.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,42,100
12,False,rephrase,,"Q: You are given a set of five objects arranged in a fixed order. Your task is to deduce the correct order of the objects based on the logical consistency of the statements provided in the following paragraph:
{paragraph}
Choose the option that represents the correct order of the objects:
{options}
A:",1,Q&A,62,100
13,False,rephrase,,"Q: Using logical deduction, determine the order of the five objects described in the following paragraph.
{paragraph}
Choose the option that correctly lists the order of the objects.
{options}
A:",1,Q&A,39,100
14,False,rephrase,,"Q: Using logical deduction, determine the order of five objects based on the following paragraph:
{paragraph}
Choose the correct sequence from the following options:
{options}
A:",1,Q&A,35,100
15,False,rephrase,,"Q: Using logical deduction, what is the fixed order of the five objects described in the following {paragraph}? The statements are logically consistent within the paragraph.
{paragraph}
Options:
{options}
A:",1,Q&A,41,100
16,False,rephrase,,"Q: Using logical deduction, determine the order of the following five objects based on the information provided in the paragraph below.
{paragraph}
Choose the most appropriate sequence from the following options:
{options}
A:",1,Q&A,42,100
17,False,rephrase,,"Q: Using logical deduction, determine the correct order of the following five objects described in the following paragraph:
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,38,100
18,False,rephrase,,"Q: Using logical deduction, determine the order of the five objects described in the following paragraph:
{paragraph}
Choose the correct sequence from the following options:
{options}
A:",1,Q&A,36,100
19,False,rephrase,,"Q: Using deductive reasoning, determine the order of the five objects described in the following {paragraph}. Which of the following {options} correctly represents the order of the objects?
A:",1,Q&A,38,100
20,False,rephrase,,"Q: Using logical deduction, determine the correct order of the following five objects based on the information provided in the following paragraph:
{paragraph}

Choose the correct sequence from the following options:
{options}

A:",1,Q&A,42,100
21,False,rephrase,,"Q: Within {paragraph}, what is the correct order of the five objects?
Choose from the following options:
{options}",1,other,25,100
22,False,rephrase,,"Q: Using logical deduction, determine the order of the following five objects:
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,32,100
23,False,rephrase,,"Q: You are given a set of five objects arranged in a fixed order. Use logical deduction to determine the correct order of the objects based on the information provided in the following paragraph:
{paragraph}
Select the correct order from the following options:
{options}
A:",1,Q&A,54,100
24,False,rephrase,,"Q: Within {paragraph}, what is the correct order of the five objects described? Choose from the following options:
{options}
A:",1,Q&A,28,100
25,False,rephrase,,"Q: Using logical deduction, determine the correct order of a sequence of five objects based on the information provided in the following paragraph:
{paragraph}
Choose the correct arrangement from the following options:
{options}
A:",1,Q&A,43,100
26,False,rephrase,,"Q: Using logical deduction, determine the order of the following five objects based on the information provided in the paragraph below.
{paragraph}

Choose the correct order from the following options:
{options}

A:",1,Q&A,41,100
27,False,rephrase,,"Q: Use logical deduction to determine the correct order of the five objects described in the following paragraph. The statements are logically consistent within the paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,46,100
28,False,rephrase,,"Q: Using logical deduction, determine the correct order of the following five objects based on the information provided in the {paragraph}. Choose the correct order from the following options:
{options}",1,other,37,100
29,False,rephrase,,"Q: Given a set of five objects arranged in a fixed order, use logical deduction to determine the correct sequence of the objects based on the following paragraph:
{paragraph}
Choose the option that correctly represents the order of the objects:
{options}
A:",1,Q&A,51,100
30,False,rephrase,,"Q: Use the given statements to deduce the order of five objects. Each paragraph describes a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph.
{paragraph}
Choose the correct order of the objects from the following options:
{options}
A:",1,Q&A,58,100
31,False,rephrase,,"Q: Use logical deduction to determine the order of the following five objects. Each paragraph contains statements that are logically consistent within that paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,44,100
32,False,rephrase,,"Q: Using logical deduction, determine the order of the following five objects based on the information provided in the {paragraph}. Choose the correct order from the following options:
{options}",1,other,36,100
33,False,rephrase,,"Q: Use logical deduction to determine the correct order of the following five objects, as described in the following paragraph. Each statement is logically consistent within the paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,49,100
34,False,rephrase,,"Q: Using logical deduction, determine the correct order of the following five objects based on the information provided in the {paragraph}. Which of the following options correctly represents the order of the objects?
{options}",0,other,41,100
35,False,rephrase,,"Q: Using logical deduction, determine the order of the following five objects based on the information provided in the {paragraph}. Which of the following options correctly represents the order of the objects?
{options}
A:",1,Q&A,42,100
36,False,rephrase,,"Q: Using logical deduction, determine the order of the following five objects:
{paragraph}
Choose the correct sequence from the following options:
{options}
A:",1,Q&A,32,100
37,False,rephrase,,"Q: Use logical deduction to determine the correct order of the following five objects based on the information provided in the {paragraph}. Which of the following options correctly represents the order of the objects?
{options}",1,other,41,100
38,False,rephrase,,"Q: Use logical deduction to determine the correct order of five objects described in the following paragraph. The statements are logically consistent within the paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,45,100
39,False,rephrase,,"Q: Using logical deduction, determine the correct order of the following five objects based on the information provided in the {paragraph}. Which of the following options correctly orders the objects?
{options}
A:",0,Q&A,40,100
40,False,rephrase,,"Q: Use logical deduction to determine the order of five objects described in the following paragraph. The statements are logically consistent within the paragraph.
{paragraph}
Choose the correct order from the following options:
{options}
A:",1,Q&A,44,100
41,False,rephrase,,"Q: Use logical deduction to determine the order of the following five objects. The statements provided are consistent within each paragraph.
{paragraph}
Select the correct order from the following options:
{options}
A:",1,Q&A,41,100
