prompt idx,default prompt,method,language style,prompt template,correct,prompt format,prompt length,samples
1,True,default,,"Q: Here is a table where the first line is a header and each subsequent line is a penguin:  name, age, height (cm), weight (kg)
{table_description}
{question}
Options:
{options}
A:",1,Q&A,49,100
2,False,rephrase,,"Task name: penguins in a table
Format: multi_choice
Description: Answer questions about a table of penguins and their attributes.
Rephrased prompt:
Q: The table below shows the attributes of different penguins. The first line is the header and each subsequent line represents a penguin. Please answer the following question:
{question}
Table Description:
{table_description}
Options:
{options}
A:",1,Q&A,85,100
3,False,rephrase,,"Q: In the following table, the first line is a header and each subsequent line represents a penguin with their name, age, height (in cm), and weight (in kg). {table_description} {question}
Options:
{options}
A:",1,Q&A,52,100
4,False,rephrase,,"Q: In this table, the first row is a header and each following row represents a penguin with their name, age, height (in cm), and weight (in kg). {table_description} {question}
Options:
{options}
A:",1,Q&A,51,100
5,False,rephrase,,"Task name: penguins in a table
Format: multi_choice
Description: Answer questions about a table of penguins and their attributes.
Default prompt:
Q: In the given table, the first line is a header and each subsequent line represents a penguin with their name, age, height (in cm), and weight (in kg). {table_description}. {question}
Options:
{options}
A:",0,Q&A,83,100
6,False,rephrase,,"Q: In this table, the first line is a header and each subsequent line represents a penguin with their name, age, height (in cm), and weight (in kg). {table_description} {question}
Options:
{options}
A:",1,Q&A,51,100
7,False,rephrase,,"Task name: penguins in a table
Format: multi_choice
Description: Answer questions about a table of penguins and their attributes.
Default prompt:
Q: In the given table, the first line represents the header and each subsequent line represents a penguin with their attributes: name, age, height (in cm), weight (in kg). {table_description} {question} Choose the correct option from the following:
{options}
A:",0,Q&A,90,100
8,False,rephrase,,"Task name: penguins in a table
Format: multi_choice
Description: Answer questions about a table of penguins and their attributes.
Default prompt:
Q: In the given table, the first line is a header and each subsequent line represents a penguin with their name, age, height (cm), and weight (kg). {table_description} {question}
Options:
{options}
A:",0,Q&A,81,100
9,False,rephrase,,"Q: In the given table, the first line represents the header and the following lines represent the attributes of each penguin. The attributes include name, age, height in centimeters, and weight in kilograms. {table_description} {question} Choose the best option from the following: {options}
A:",1,Q&A,62,100
10,False,rephrase,,"Q: In the given table, the first line represents the header and the following lines represent the penguins with their respective attributes - name, age, height (cm), and weight (kg). {table_description} {question} Choose the correct option from the following: {options}
A:",1,Q&A,59,100
11,False,rephrase,,"Task name: penguins in a table
Format: multi_choice
Description: Answer questions about a table of penguins and their attributes.
Default prompt:
Q: In the given table, the first line is a header and each subsequent line represents a penguin with their name, age, height (in cm), and weight (in kg). {table_description} {question}
Options:
{options}
A:",0,Q&A,83,100
12,False,rephrase,,"Q: In the given table, the first row contains the headers and the following rows contain information about different penguins. The headers are: name, age, height in centimeters, and weight in kilograms. {table_description} Can you answer this question: {question}? Choose the correct option from the following choices: {options}.
A:",1,Q&A,69,100
13,False,rephrase,,"Task name: penguins in a table
Format: multi_choice
Description: Answer questions about a table of penguins and their attributes.
Default prompt:
Q: In the following table, the first row is the header and the rest of the rows contain information about different penguins: name, age, height (in cm), and weight (in kg).
{table_description}
{question}
Choose the correct answer from the following options:
{options}
A:",0,Q&A,93,100
14,False,rephrase,,"Task name: penguins in a table
Format: multi_choice
Description: Answer questions about a table of penguins and their attributes.
Default prompt:
Q: In the given table, the first line represents the header and the following lines represent the penguins with their respective attributes such as name, age, height (in cm), and weight (in kg). 
{table_description}
{question}
Choose the correct option from the following:
{options}
A:",0,Q&A,94,100
